SITE,TREAT,PLOT,3+SOUND_MG/H,3+ROTTEN_MG/H,FINE_MG/H,TOTAL_MG/H
DALTON,2,32_2,0,0,7.794110103,7.794110103
DALTON,2,39_2,27.0385247,0,21.51842318,48.55694788
DALTON,2,56_2,47.08153114,0.226108598,28.62643708,75.93407682
DALTON,2,57_2,3.258175042,0,38.69066802,41.94884306
DALTON,2,47_2,12.00576993,0,37.06237556,49.06814549
DALTON,3,37_3,20.50245978,0,30.61494106,51.11740084
DALTON,3,15_3,0,0,42.27482309,42.27482309
DALTON,3,55_3,12.79411299,0,34.31080515,47.10491814
DALTON,3,54_3,1.682967273,0,20.71309856,22.39606583
DALTON,3,14_3,16.78787011,0,23.69894475,40.48681485
DALTON,3,7_3,17.02539107,0,62.38535801,79.41074908
DALTON,1,12_1,58.13342941,0.258391303,34.56418645,92.95600716
DALTON,1,50_1,54.16190478,0.218682229,40.06045598,94.441043
DALTON,1,64_1,4.251566338,0,24.26936218,28.52092852
DALTON,1,65_1,4.576635496,0,15.12917591,19.70581141
DALTON,1,52_1,16.7536913,0,23.41811136,40.17180266
DALTON,0,11_0,0,0,9.872924793,9.872924793
DALTON,0,58_0,1.415455088,0,9.927696618,11.34315171
DALTON,0,10_0,5.914991708,0,12.358574,18.2735657
DALTON,1,41_1,2.91042249,0,8.738226869,11.64864936
DALTON,1,48_1,24.33285361,0,24.08216914,48.41502276
DALTON,0,44_0,1.142091119,0,5.648493562,6.790584681
DALTON,2,16_2,2.609068059,0,24.08883008,26.69789814
DALTON,2,8_2,7.172405373,0,19.28674957,26.45915494
DALTON,2,40_2,6.12779543,0,22.94082098,29.06861641
DALTON,1,42_1,2.225411149,0,16.94438106,19.16979221
STEESE,2,34_2,0,0,29.95698045,29.95698045
STEESE,3,22_3,7.971973571,0,38.63147509,46.60344866
STEESE,3,17_3,0,0,19.81150869,19.81150869
STEESE,3,25_3,0,0,24.45340621,24.45340621
STEESE,3,35_3,22.09121894,0,40.26835798,62.35957693
STEESE,3,24_3,3.883516064,0,28.25733977,32.14085584
STEESE,2,26_2,0,0,9.864454599,9.864454599
STEESE,1,33_1,13.48369245,0,41.63306613,55.11675857
STEESE,1,18_1,13.60533215,0,11.47679058,25.08212273
STEESE,1,29_1,21.13460036,0,77.35551592,98.49011628
STEESE,3,23_3,8.318884585,0,21.34768254,29.66656713
STEESE,3,2_3,8.389199265,0,22.17949794,30.5686972
STEESE,1,36_1,5.974361142,0,10.54307112,16.51743226
STEESE,1,20_1,7.579325717,0,14.64181727,22.22114299
STEESE,2,27_2,4.996125575,0,7.479739396,12.47586497
STEESE,2,4_2,0,0,11.75854947,11.75854947
STEESE,2,3_2,2.894665349,0,10.56564396,13.46030931
STEESE,2,19_2,3.324226739,0,15.73233718,19.05656391
STEESE,1,28_1,0,0,13.8891864,13.8891864
STEESE,1,5_1,0,0,18.52396659,18.52396659
STEESE,0,1_0,0.519775283,0,6.855624455,7.375399738
STEESE,0,31_0,0.206056319,0,2.71155064,2.917606959
STEESE,0,9_0,2.89655293,0,3.24697417,6.143527101
STEESE,0,6_0,1.140796231,0,6.394022968,7.534819199