TREE,STEM,BRANCH,TWIG,WIDTH_IN,WET_WEIGHT,DRY_WEIGHT,DBH,HEIGHT_M
TREE1,S0,,,,,,10,2.14
TREE1,S1,B0,T0,8,13.68,10.3,,
TREE1,S1,B1,T0,5,14.5,10.3,,
TREE1,S1,B2,T0,4,12.59,9.7,,
TREE1,S1,B3,T0,5,12.33,9.62,,
TREE1,S1,B4,T0,7,15.68,11.31,,
TREE1,S1,B5,T0,5,11.62,9.3,,
TREE1,S1,B6,T0,4,10.48,8.53,,
TREE1,S2,B0,T0,12,18.59,13.18,,
TREE1,S2,B1,T0,4,10.74,8.63,,
TREE1,S2,B2,T0,6,13.73,10.26,,
TREE1,S2,B3,T0,6,10.84,8.91,,
TREE1,S2,B4,T0,3,10.39,8.44,,
TREE1,S2,B5,T0,5,13.31,,,
TREE1,S3,B0,T0,17,8.97,7.68,,
TREE1,S3,B1,T0,9,27.98,18.11,,
TREE1,S3,B2,T0,6,14.45,10.73,,
TREE1,S3,B3,T0,5,16.88,12.22,,
TREE1,S3,B4,T0,6,14.51,10.82,,
TREE1,S3,B5,T0,6,10.38,8.58,,
TREE1,S4,B0,T0,17,44.45,23.35,,
TREE1,S5,B0,T0,32,115.26,78.11,,
TREE2,S0,,,,,,11,
TREE2,S1,B0,T0,10,9.62,8.62,,
TREE2,S1,B1,T0,6,16.2,11.66,,
TREE2,S1,B2,T0,10,23.04,13.27,,
TREE2,S2,B0,T0,12,29.97,20.71,,
TREE2,S2,B1,T0,8,30.86,20.53,,
TREE2,S2,B2,T0,6,13.09,10.11,,
TREE2,S2,B3,T0,6,12.5,9.77,,
TREE2,S2,B4,T0,4,8.91,7.57,,
TREE2,S3,B0,T0,16,47.93,31.42,,
TREE2,S3,B1,T0,8,20.26,14.62,,
TREE2,S3,B2,T0,4,9.23,7.73,,
TREE2,S3,B3,T0,5,9.95,8.28,,
TREE2,S3,B4,T0,4,10.26,8.29,,
TREE2,S4,B0,T0,25,99.39,64.65,,
TREE3,S0,,,,,,8,
TREE3,S1,B0,T0,8,21.14,14.17,,
TREE3,S1,B1,T0,4,10.71,8.84,,
TREE3,S1,B2,T0,4,10.93,8.58,,
TREE3,S2,B0,T0,2,14.56,11.35,,
TREE3,S2,B1,T0,4,9.59,7.98,,
TREE3,S2,B2,T0,4,9.39,7.99,,
TREE3,S3,B0,T0,11,21.75,16.9,,
TREE3,S3,B1,T0,3,8.43,7.44,,
TREE3,S3,B2,T0,4,10.03,8.31,,
TREE3,S3,B3,T0,4,9.61,8.1,,
TREE3,S4,B0,T0,12,53.58,36.25,,
TREE3,S4,B1,T0,3,8.25,7.14,,
TREE3,S4,B2,T0,2,8.76,7.56,,
TREE3,S4,B3,T0,,7.9,7,,
TREE3,S4,B4,T0,3,28.19,19.88,,
TREE4,S0,,,,,,11,
TREE4,S1,B0,T0,11,12.81,11.48,,
TREE4,S1,B1,T0,8,24.38,16.7,,
TREE4,S2,B0,T0,12,12.82,10.51,,
TREE4,S2,B1,T0,6,15.98,11.61,,
TREE4,S2,B2,T0,10,23.1,15.63,,
TREE4,S3,B0,T0,13,20.69,15.11,,
TREE4,S3,B1,T0,8,22.34,15.32,,
TREE4,S3,B2,T0,6,14.86,10.79,,
TREE4,S3,B3,T0,5,15.84,11.75,,
TREE4,S3,B4,T0,3,9.32,7.87,,
TREE4,S4,B0,T0,14,25.18,18,,
TREE4,S4,B1,T0,3,9.39,7.86,,
TREE4,S4,B2,T0,7,20.79,14.91,,
TREE4,S5,B0,T0,16,32.38,22.56,,
TREE4,S5,B1,T0,4,9.38,7.99,,
TREE4,S5,B2,T0,5,11.65,9.1,,
TREE4,S6,B0,T0,,105.87,70.19,,
TREE4,S6,B1,T0,4,9.41,7.86,,
TREE5,S0,,,,,,6,1.76
TREE5,S1,B0,T0,4,9.96,8.18,,
TREE5,S1,B1,T0,3,9.27,7.81,,
TREE5,S1,B2,T0,3,9.2,7.75,,
TREE5,S1,B3,T0,3,8.71,7.45,,
TREE5,S1,B4,T0,3,9.12,7.85,,
TREE5,S2,B0,T0,7,10.97,8.79,,
TREE5,S2,B1,T0,4,11.95,9.39,,
TREE5,S2,B2,T0,5,12.82,10.07,,
TREE5,S3,B0,T0,8,12.23,9.73,,
TREE5,S3,B1,T0,4,10.53,8.51,,
TREE5,S3,B2,T0,5,12.34,9.64,,
TREE5,S3,B3,T0,4,10.82,8.84,,
TREE5,S4,B0,T0,9,13.15,10.25,,
TREE5,S4,B1,T0,4,9.29,7.83,,
TREE5,S4,B2,T0,3,9.34,7.8,,
TREE5,S5,B0,T0,10,17.68,13.01,,
TREE5,S5,B1,T0,4,9.16,7.88,,
TREE5,S5,B2,T0,3,8.41,7.36,,
TREE5,S6,B0,T0,12,16.92,12.58,,
TREE5,S7,B0,T0,13,18.64,13.58,,
TREE5,S7,B1,T0,4,8.64,7.44,,
TREE5,S8,B0,T0,14,14.47,11.25,,
TREE5,S9,B0,T0,24,44.46,30.29,,
TREE6,S0,,,,,,8,
TREE6,S1,B0,T0,6,8.52,7.25,,
TREE6,S1,B1,T0,4,11.87,9.31,,
TREE6,S1,B2,T0,4,9.64,7.89,,
TREE6,S2,B0,T0,7,10.22,8.38,,
TREE6,S2,B1,T0,4,12.7,9.87,,
TREE6,S2,B2,T0,4,10.33,8.41,,
TREE6,S3,B0,T0,8,10.4,8.45,,
TREE6,S3,B1,T0,3,10.47,8.49,,
TREE6,S3,B2,T0,4,12.71,9.73,,
TREE6,S4,B0,T0,9,11.92,9.44,,
TREE6,S4,B1,T0,4,12.5,9.64,,
TREE6,S4,B2,T0,4,10,8.16,,
TREE6,S4,B3,T0,2,9.16,7.62,,
TREE6,S5,B0,T0,11,21.18,15.74,,
TREE6,S5,B1,T0,8,11.64,9.27,,
TREE6,S5,B1,T1,4,13.78,10.55,,
TREE6,S5,B1,T2,3,10.43,8.41,,
TREE6,S5,B1,T3,3,9.67,7.95,,
TREE6,S5,B2,T0,3,11.12,8.81,,
TREE6,S5,B3,T0,5,11.19,8.83,,
TREE6,S6,B0,T0,12,17.44,13.21,,
TREE6,S6,B1,T0,7,11.11,8.92,,
TREE6,S6,B2,T0,4,9.66,8,,
TREE6,S7,B0,T0,14,23.25,16.91,,
TREE6,S7,B1,T0,4,9.77,8.2,,
TREE6,S7,B2,T0,5,12.37,9.77,,
TREE6,S8,B0,T0,15,32.54,23.08,,
TREE6,S9,B0,T0,23,60.38,41.13,,
TREE7,S0,,,,,,10,2.37
TREE7,S1,B0,T0,5,10.96,8.83,,
TREE7,S1,B1,T0,4,9.69,7.89,,
TREE7,S1,B2,T0,3,9.02,7.61,,
TREE7,S1,B3,T0,3,8.74,7.45,,
TREE7,S1,B4,T0,4,9.05,7.65,,
TREE7,S1,B5,T0,2,8.65,7.41,,
TREE7,S1,B6,T0,5,10.36,8.52,,
TREE7,S2,B0,T0,9,12.62,9.97,,
TREE7,S2,B1,T0,5,12.38,9.84,,
TREE7,S2,B2,T0,5,13.46,10.49,,
TREE7,S2,B3,T0,3,9.69,8.09,,
TREE7,S2,B4,T0,3,9.33,7.81,,
TREE7,S2,B5,T0,7,11.78,9.4,,
TREE7,S3,B0,T0,10,15.05,11.65,,
TREE7,S3,B1,T0,9,13.87,10.77,,
TREE7,S3,B1,T1,2,10.58,8.61,,
TREE7,S3,B1,T2,3,11.52,9.29,,
TREE7,S3,B1,T3,4,11.14,8.99,,
TREE7,S3,B2,T0,6,11.86,9.57,,
TREE7,S3,B2,T1,4,11.54,9.34,,
TREE7,S3,B2,T2,3,9.82,8.1,,
TREE7,S4,B0,T0,11,22.17,16.33,,
TREE7,S4,B1,T0,5,13.62,11.2,,
TREE7,S4,B1,T1,3,12.11,9.46,,
TREE7,S4,B2,T0,4,12.65,9.94,,
TREE7,S4,B3,T0,4,10.77,8.82,,
TREE7,S4,B4,T0,4,10.3,8.65,,
TREE7,S5,B0,T0,12,25.45,18.73,,
TREE7,S6,B0,T0,15,27.06,20.32,,
TREE7,S7,B0,T0,16,26.02,19.37,,
TREE7,S8,B0,T0,18,25.8,19.26,,
TREE7,S9,B0,T0,24,63.17,44.7,,
TREE8,S0,,,,,,8,2.07
TREE8,S1,B0,T0,3,11.99,9.62,,
TREE8,S2,B0,T0,7,10.03,8.33,,
TREE8,S2,B1,T0,6,13.22,10.1,,
TREE8,S2,B2,T0,5,11.98,9.47,,
TREE8,S3,B0,T0,8,11.33,9.12,,
TREE8,S3,B1,T0,5,11.66,9.18,,
TREE8,S3,B2,T0,4,11.99,9.45,,
TREE8,S3,B3,T0,4,11.69,9.35,,
TREE8,S4,B0,T0,9,14.31,11.03,,
TREE8,S4,B1,T0,4,10.52,8.54,,
TREE8,S4,B2,T0,4,10.61,8.55,,
TREE8,S4,B3,T0,3,9.11,7.66,,
TREE8,S4,B4,T0,3,9.53,7.97,,
TREE8,S5,B0,T0,11,19.84,14.27,,
TREE8,S5,B1,T0,6,16.66,12.65,,
TREE8,S5,B1,T1,4,11.57,9.23,,
TREE8,S5,B1,T2,3,9.91,8.11,,
TREE8,S5,B1,T3,3,9.95,8.2,,
TREE8,S5,B1,T4,3,9.58,8.02,,
TREE8,S5,B1,T5,3,9.58,8.06,,
TREE8,S5,B1,T6,3,9.03,7.53,,
TREE8,S5,B2,T0,3,10.92,8.77,,
TREE8,S6,B0,T0,14,31.6,22.11,,
TREE8,S6,B1,T0,8,20.02,14.26,,
TREE8,S6,B1,T1,3,11.16,8.78,,
TREE8,S6,B1,T2,3,9.2,7.66,,
TREE8,S6,B1,T3,3,9.89,8.12,,
TREE8,S6,B1,T4,4,8.77,7.35,,
TREE8,S6,B1,T5,2,8.73,7.32,,
TREE8,S6,B2,T0,3,9.47,7.85,,
TREE8,S7,B0,T0,8,21.79,15.65,,
TREE8,S7,B1,T0,6,9.36,7.73,,
TREE8,S8,B0,T0,8,27.96,19.84,,
TREE8,S9,B0,T0,18,28.38,20.54,,
TREE8,S9,B1,T0,4,10.82,8.91,,
TREE8,S10,B0,T0,29,53.38,37.76,,
TREE9,S0,,,,,,10,2.11
TREE9,S1,B0,T0,6,12.74,9.99,,
TREE9,S1,B1,T0,5,10.32,8.52,,
TREE9,S1,B2,T0,4,8.81,7.53,,
TREE9,S2,B0,T0,9,16.24,12.4,,
TREE9,S2,B1,T0,5,13.27,10.52,,
TREE9,S2,B2,T0,4,10.54,8.7,,
TREE9,S2,B3,T0,3,10.7,8.75,,
TREE9,S2,B4,T0,3,10.73,8.74,,
TREE9,S2,B5,T0,4,11.99,9.63,,
TREE9,S2,B6,T0,5,13.81,10.89,,
TREE9,S2,B6,T1,4,9.59,8.08,,
TREE9,S2,B6,T2,5,9.81,8.18,,
TREE9,S3,B0,T0,11,16.75,12.74,,
TREE9,S3,B1,T0,4,10.47,8.52,,
TREE9,S4,B0,T0,13,18.72,13.92,,
TREE9,S4,B1,T0,5,11.91,9.55,,
TREE9,S4,B2,T0,4,12.19,9.57,,
TREE9,S4,B3,T0,4,11.92,9.61,,
TREE9,S4,B4,T0,5,13.58,10.53,,
TREE9,S5,B0,T0,14,20.42,15.07,,
TREE9,S5,B1,T0,5,13.4,10.62,,
TREE9,S5,B2,T0,4,10.58,8.68,,
TREE9,S5,B3,T0,3,9.04,7.69,,
TREE9,S6,B0,T0,14,23.73,18.15,,
TREE9,S7,B0,T0,15,29.93,21.29,,
TREE9,S8,B0,T0,16,30.33,22.78,,
TREE9,S9,B0,T0,24,67.68,49.14,,
TREE10,S0,,,,,,10,2.2
TREE10,S1,B0,T0,8,16.21,12.29,,
TREE10,S1,B1,T0,5,11.42,9.28,,
TREE10,S1,B2,T0,5,10.19,8.34,,
TREE10,S1,B3,T0,4,9.01,7.58,,
TREE10,S1,B4,T0,4,10.12,8.39,,
TREE10,S1,B5,T0,4,9.71,8.07,,
TREE10,S1,B6,T0,4,9.69,8.06,,
TREE10,S2,B0,T0,9,14.85,11.09,,
TREE10,S3,B0,T0,12,19.66,14.45,,
TREE10,S3,B1,T0,4,15.58,11.66,,
TREE10,S3,B2,T0,4,11.87,9.37,,
TREE10,S3,B3,T0,4,13.09,10.1,,
TREE10,S3,B4,T0,4,11.79,9.48,,
TREE10,S3,B5,T0,3,9.56,8.01,,
TREE10,S4,B0,T0,14,22.46,16.09,,
TREE10,S4,B1,T0,3,9.85,8.27,,
TREE10,S4,B2,T0,3,9.24,7.81,,
TREE10,S4,B3,T0,3,9.65,8.03,,
TREE10,S5,B0,T0,16,43.42,29.72,,
TREE10,S5,B1,T0,7,17.35,12.99,,
TREE10,S5,B1,T1,4,12.05,9.32,,
TREE10,S5,B1,T2,3,10.5,8.43,,
TREE10,S5,B1,T3,2,10.28,8.28,,
TREE10,S5,B1,T4,3,9.65,7.89,,
TREE10,S5,B2,T0,3,12.35,9.51,,
TREE10,S5,B3,T0,8,10.17,8.37,,
TREE10,S5,B3,T1,3,9.94,8.08,,
TREE10,S6,B0,T0,17,37.24,25.59,,
TREE10,S6,B1,T0,4,10.94,8.7,,
TREE10,S7,B0,T0,25,101.42,68.59,,