"SITE","FIRES","PLOT","SPECIES","BIOMASS_SUM","BIOMASS_AV"
"DALTON",0,"44_0","BENE",162618.467529528,162618.467529528
"DALTON",0,"44_0","PIME",3512260.98283283,26210.9028569614
"DALTON",0,"44_0","SALIX",251048.788842424,9655.72264778553
"DALTON",0,"10_0","BENE",995561.794669731,124445.224333716
"DALTON",0,"10_0","PIME",2749270.99306419,23298.9067208829
"DALTON",0,"10_0","SALIX",91778.1480751669,2699.35729632844
"DALTON",0,"11_0","BENE",331701.771367079,82925.4428417696
"DALTON",0,"11_0","PIME",2233582.96252526,17181.4074040404
"DALTON",0,"11_0","SALIX",191971.968371882,2953.41489802896
"DALTON",0,"58_0","BENE",1464410.26513139,183051.283141424
"DALTON",0,"58_0","PIME",3014303.48993471,43061.4784276387
"DALTON",0,"58_0","SALIX",117086.489242237,3902.88297474122
"DALTON",1,"12_1","ALCR",3287.43168247958,1643.71584123979
"DALTON",1,"12_1","BENE",5948.18448607608,283.246880289337
"DALTON",1,"12_1","SALIX",10488.4625095516,1748.07708492526
"DALTON",1,"50_1","ALCR",4848.40973527754,808.068289212923
"DALTON",1,"50_1","BENE",1757.37680909707,292.896134849512
"DALTON",1,"50_1","PIME",8176.19793422193,8176.19793422193
"DALTON",1,"50_1","SALIX",14909.3091305466,1863.66364131832
"DALTON",1,"48_1","BENE",499296.029985601,12177.9519508683
"DALTON",1,"48_1","PIME",484187.768890623,34584.8406350445
"DALTON",1,"48_1","POTR",35.3006583402544,35.3006583402544
"DALTON",1,"48_1","SALIX",53051.8560562866,2652.59280281433
"DALTON",1,"41_1","BENE",94879.5751658623,7298.42885891249
"DALTON",1,"41_1","PIME",209198.932322475,7213.75628698191
"DALTON",1,"41_1","SALIX",8737.32414576645,794.302195069677
"DALTON",1,"42_1","ALCR",2560.3560586899,365.765151241414
"DALTON",1,"42_1","BENE",4588.06879759696,509.785421955218
"DALTON",1,"42_1","PIME",739374.55482168,6060.44717066951
"DALTON",1,"52_1","ALCR",2387.87876575013,140.463456808831
"DALTON",1,"52_1","PIME",741903.816657474,20608.4393515965
"DALTON",1,"52_1","SALIX",254.243626909461,254.243626909461
"DALTON",1,"64_1","ALCR",17282.00289495,384.044508776666
"DALTON",1,"64_1","BENE",5495.50052693024,499.590956993658
"DALTON",1,"64_1","PIME",505272.319512352,6237.92987052287
"DALTON",1,"64_1","SALIX",2092.02669698696,523.006674246741
"DALTON",1,"65_1","ALCR",12553.7353057087,545.814578509072
"DALTON",1,"65_1","BENE",145.085749844074,145.085749844074
"DALTON",1,"65_1","PIME",666152.471072939,8025.93338642095
"DALTON",1,"65_1","SALIX",6657.48520893521,443.832347262347
"DALTON",2,"32_2","BENE",403451.625042469,4802.99553621987
"DALTON",2,"32_2","PIME",15009.766063355,833.875892408611
"DALTON",2,"32_2","POTR",4709.88067534031,1177.47016883508
"DALTON",2,"32_2","SALIX",134670.149735455,2693.4029947091
"DALTON",2,"56_2","ALCR",5548.08183450245,693.510229312806
"DALTON",2,"56_2","BENE",99110.1008163605,877.08053819788
"DALTON",2,"56_2","SALIX",45323.1339841415,2385.4281044285
"DALTON",2,"16_2","BENE",85516.3512003733,1239.36740870106
"DALTON",2,"16_2","POTR",7406.93967126873,740.693967126873
"DALTON",2,"16_2","SALIX",100499.834880261,679.052938380141
"DALTON",2,"39_2","ALCR",10537.2774404923,526.863872024613
"DALTON",2,"39_2","BENE",69930.9452649899,1059.55977674227
"DALTON",2,"39_2","PIME",2489.78834869002,1244.89417434501
"DALTON",2,"39_2","SALIX",14322.849691086,895.178105692875
"DALTON",2,"40_2","BENE",296303.494778462,7797.4603889069
"DALTON",2,"40_2","PIME",111387.794260222,2716.77546976152
"DALTON",2,"40_2","POTR",1175.61126769733,391.870422565775
"DALTON",2,"40_2","SALIX",90571.7029972375,2058.44779539176
"DALTON",2,"47_2","ALCR",74585.0584201449,703.63262660514
"DALTON",2,"47_2","BENE",84879.7907800646,1391.47198000106
"DALTON",2,"47_2","PIME",1763.40271988354,881.701359941772
"DALTON",2,"47_2","SALIX",23521.0204048813,1237.94844236217
"DALTON",2,"57_2","ALCR",13288.1840411,2214.69734018333
"DALTON",2,"57_2","BENE",320587.441471451,1541.28577630505
"DALTON",2,"57_2","PIME",3180.91267055208,454.416095793155
"DALTON",2,"57_2","SALIX",70023.5409139668,1945.0983587213
"DALTON",2,"8_2","ALCR",34030.9534744751,830.023255475002
"DALTON",2,"8_2","BENE",106626.904086104,5611.94232032127
"DALTON",2,"8_2","PIME",158914.194489868,4181.95248657548
"DALTON",2,"8_2","SALIX",209667.028942428,2688.03883259523
"DALTON",3,"15_3","BENE",330371.917146337,7181.9981988334
"DALTON",3,"15_3","SALIX",103563.962389073,9414.9056717339
"DALTON",3,"7_3","ALCR",39356.6861327442,3577.8805575222
"DALTON",3,"7_3","BENE",184663.276768849,6839.3806210685
"DALTON",3,"7_3","SALIX",132641.681741209,8290.10510882557
"DALTON",3,"14_3","ALCR",18215.8643029209,455.396607573023
"DALTON",3,"14_3","BENE",27696.1755513353,710.158347470137
"DALTON",3,"14_3","SALIX",41535.7659145845,1065.0196388355
"DALTON",3,"37_3","ALCR",17616.8259196911,550.525809990346
"DALTON",3,"37_3","BENE",51831.7020723675,1524.46182565787
"DALTON",3,"37_3","SALIX",172605.723764283,1541.12253360967
"DALTON",3,"54_3","BENE",262559.454446703,3409.86304476237
"DALTON",3,"54_3","PIME",3105.23488644022,776.308721610055
"DALTON",3,"54_3","POTR",5242.43663158715,1747.47887719572
"DALTON",3,"54_3","SALIX",46682.0942041737,1373.00277071099
"DALTON",3,"55_3","ALCR",17278.5222151322,1329.11709347171
"DALTON",3,"55_3","BENE",260466.089247685,1471.55982625811
"DALTON",3,"55_3","SALIX",155139.788699028,1704.83284284646
"STEESE",0,"1_0","PIME",1746042.41073847,11192.5795560158
"STEESE",0,"1_0","SALIX",6945.9606781007,6945.9606781007
"STEESE",0,"31_0","PIME",1234158.78527054,22854.7923198248
"STEESE",0,"6_0","BENE",978108.013533038,489054.006766519
"STEESE",0,"6_0","PIME",1777219.03988117,22784.8594856561
"STEESE",0,"6_0","SALIX",79915.5826766037,7265.05297060034
"STEESE",0,"9_0","PIME",2368193.97043576,22771.0958695746
"STEESE",0,"9_0","SALIX",7006.62448822686,7006.62448822686
"STEESE",1,"18_1","BENE",11766.5203373634,435.797049531977
"STEESE",1,"18_1","PIME",768959.8450134,9733.66892422026
"STEESE",1,"18_1","POTR",970.511632963105,970.511632963105
"STEESE",1,"18_1","SALIX",1015.78416491693,507.892082458463
"STEESE",1,"28_1","BENE",5021.84912714105,627.731140892631
"STEESE",1,"28_1","PIME",468188.466497493,4036.10746980598
"STEESE",1,"28_1","SALIX",1533.98329847132,511.327766157105
"STEESE",1,"33_1","ALCR",4692.10464449504,938.420928899009
"STEESE",1,"33_1","BENE",14453.4784283804,4817.82614279347
"STEESE",1,"33_1","PIME",808277.564229041,14433.5279326614
"STEESE",1,"33_1","SALIX",6851.20058917151,2283.73352972384
"STEESE",1,"20_1","PIME",641453.883454121,8330.56991498858
"STEESE",1,"20_1","SALIX",24966.0948443903,1314.00499181002
"STEESE",1,"29_1","BENE",20168.4461825987,395.459729070563
"STEESE",1,"29_1","PIME",122862.125091806,5119.25521215857
"STEESE",1,"29_1","SALIX",3903.4144441882,354.855858562563
"STEESE",1,"36_1","PIME",707285.805278778,8625.4366497412
"STEESE",1,"36_1","SALIX",13729.6067251749,429.050210161716
"STEESE",1,"5_1","ALCR",2446.61209977897,188.200930752229
"STEESE",1,"5_1","BENE",9366.39302644369,1040.71033627152
"STEESE",1,"5_1","PIME",331597.819003537,2590.60796096513
"STEESE",2,"19_2","BENE",6250.88268285712,3125.44134142856
"STEESE",2,"19_2","PIME",308840.633358791,3959.49529947168
"STEESE",2,"19_2","POTR",3891.90973713387,1297.30324571129
"STEESE",2,"19_2","SALIX",28771.652493471,1065.61675901744
"STEESE",2,"34_2","BENE",29133.6518061671,1942.24345374447
"STEESE",2,"34_2","PIME",29415.2544306016,3268.36160340018
"STEESE",2,"34_2","POTR",428.638878903064,142.879626301021
"STEESE",2,"34_2","SALIX",166891.4300691,1056.27487385506
"STEESE",2,"4_2","BENE",2122.82563653372,303.260805219102
"STEESE",2,"4_2","PIME",235129.981467222,2501.38278156619
"STEESE",2,"26_2","ALCR",7515.26974771012,469.704359231883
"STEESE",2,"26_2","BENE",6050.84162401968,163.53626010864
"STEESE",2,"26_2","PIME",128458.448696345,5839.02039528843
"STEESE",2,"26_2","POTR",0.59269854248692,0.29634927124346
"STEESE",2,"26_2","SALIX",4993.05771424028,453.914337658208
"STEESE",2,"27_2","ALCR",90.5558952908331,45.2779476454166
"STEESE",2,"27_2","BENE",1312.53327341605,77.2078396127089
"STEESE",2,"27_2","PIME",331364.267533699,2808.17175876016
"STEESE",2,"27_2","POTR",17.6503291701272,17.6503291701272
"STEESE",2,"27_2","SALIX",4528.55289859115,1132.13822464779
"STEESE",2,"3_2","BENE",3817.62984880168,293.663834523206
"STEESE",2,"3_2","PIME",199960.410772541,2856.57729675058
"STEESE",2,"3_2","POTR",41.4677900686975,10.3669475171744
"STEESE",3,"17_3","BENE",185.363724763115,92.6818623815577
"STEESE",3,"17_3","PIME",7177.36744359904,1794.34186089976
"STEESE",3,"17_3","POTR",71010.8619389787,622.90229771034
"STEESE",3,"17_3","SALIX",78713.3481801151,629.706785440921
"STEESE",3,"2_3","BENE",13903.134432544,1263.92131204945
"STEESE",3,"2_3","POTR",152874.744761038,1887.34252791405
"STEESE",3,"2_3","SALIX",29366.9288199631,863.733200587149
"STEESE",3,"22_3","BENE",7470.8413297503,257.615218267252
"STEESE",3,"22_3","PIME",447.241461287617,447.241461287617
"STEESE",3,"22_3","POTR",51055.3325078173,785.466653966419
"STEESE",3,"22_3","SALIX",101924.490534512,815.395924276097
"STEESE",3,"23_3","BENE",4941.98879041343,260.104673179654
"STEESE",3,"23_3","POTR",19055.3436099165,544.438388854757
"STEESE",3,"23_3","SALIX",47040.5992179432,627.207989572576
"STEESE",3,"24_3","BENE",6477.12006372367,1619.28001593092
"STEESE",3,"24_3","POTR",289698.588318383,2868.30285463746
"STEESE",3,"24_3","SALIX",99108.2914065776,678.823913743682
"STEESE",3,"25_3","BENE",3192.81141089312,3192.81141089312
"STEESE",3,"25_3","POTR",51455.3068957857,1169.43879308604
"STEESE",3,"25_3","SALIX",55788.9132504275,648.708293609622
"STEESE",3,"35_3","ALCR",301.793007048326,150.896503524163
"STEESE",3,"35_3","BENE",31522.5773443099,900.645066980284
"STEESE",3,"35_3","PIME",7139.53900248187,594.961583540156
"STEESE",3,"35_3","POBA",2965.59374279456,988.531247598185
"STEESE",3,"35_3","POTR",2215.38387452575,246.153763836194
"STEESE",3,"35_3","SALIX",113666.705366305,1623.8100766615
