"SITE","TREAT","PLOT","CORNER","ORG_MIN","DEPTH","C_gm2"
"DALTON",0,"10_0","C","M","0_5",99.0213783481434
"DALTON",0,"10_0","C","M","10_15",48.4257553601039
"DALTON",0,"10_0","C","M","5_10",13.4872322548596
"DALTON",0,"10_0","C","O","FULL",208.140434562908
"DALTON",0,"10_0","NE","M","0_5",145.161412233099
"DALTON",0,"10_0","NE","M","10_15",48.6053192168278
"DALTON",0,"10_0","NE","M","5_10",64.6937105029763
"DALTON",0,"10_0","NE","O","FULL",144.913665935557
"DALTON",0,"10_0","NW","M","0_5",102.046258896251
"DALTON",0,"10_0","NW","M","10_15",101.173646950533
"DALTON",0,"10_0","NW","M","5_10",77.6175818112428
"DALTON",0,"10_0","NW","O","FULL",205.08990338773
"DALTON",0,"10_0","SE","M","0_5",106.52086878022
"DALTON",0,"10_0","SE","M","10_15",91.0643516776731
"DALTON",0,"10_0","SE","M","5_10",110.984930776608
"DALTON",0,"10_0","SE","O","FULL",174.995188522318
"DALTON",0,"10_0","SW","M","0_5",138.038763817477
"DALTON",0,"10_0","SW","M","10_15",187.873440292633
"DALTON",0,"10_0","SW","M","5_10",30.8232330638227
"DALTON",0,"10_0","SW","O","FULL",325.313330924837
"DALTON",0,"11_0","C","M","0_5",110.944871859288
"DALTON",0,"11_0","C","M","10_15",57.738329681687
"DALTON",0,"11_0","C","O","FULL",73.5133855300812
"DALTON",0,"11_0","NE","M","10_15",56.7931121491332
"DALTON",0,"11_0","NE","M","5_10",95.307138589758
"DALTON",0,"11_0","NE","O","FULL",68.2505424922716
"DALTON",0,"11_0","NW","M","0_5",157.973579682711
"DALTON",0,"11_0","NW","M","10_15",53.3138654927797
"DALTON",0,"11_0","NW","M","5_10",69.2844624278075
"DALTON",0,"11_0","NW","O","FULL",184.989889910378
"DALTON",0,"11_0","SE","M","0_5",76.186873256267
"DALTON",0,"11_0","SE","M","10_15",34.9667660829228
"DALTON",0,"11_0","SE","M","5_10",59.5300296023792
"DALTON",0,"11_0","SE","O","FULL",96.8520871075073
"DALTON",0,"11_0","SW","M","0_5",402.423468138571
"DALTON",0,"11_0","SW","M","10_15",89.4216478739179
"DALTON",0,"11_0","SW","M","5_10",56.470104706458
"DALTON",0,"11_0","SW","O","FULL",284.542337954285
"DALTON",0,"58_0","C","M","0_5",65.8517302265288
"DALTON",0,"58_0","C","M","10_15",163.705117350837
"DALTON",0,"58_0","C","M","5_10",93.1575597947669
"DALTON",0,"58_0","C","O","FULL",382.397338963032
"DALTON",0,"58_0","NE","M","0_5",122.80617318081
"DALTON",0,"58_0","NE","M","10_15",42.6551962717967
"DALTON",0,"58_0","NE","M","5_10",42.7614820898361
"DALTON",0,"58_0","NW","M","0_5",142.617123415367
"DALTON",0,"58_0","NW","M","10_15",78.3848685844214
"DALTON",0,"58_0","NW","M","5_10",66.7724705117611
"DALTON",0,"58_0","NW","O","FULL",134.949430360671
"DALTON",0,"58_0","SE","M","0_5",140.775623631993
"DALTON",0,"58_0","SE","M","10_15",89.979706057355
"DALTON",0,"58_0","SE","M","5_10",78.5499459070163
"DALTON",0,"58_0","SE","O","FULL",133.699662587635
"DALTON",0,"58_0","SW","M","0_5",143.851975565952
"DALTON",0,"58_0","SW","M","10_15",37.7241452853033
"DALTON",0,"58_0","SW","O","FULL",289.977620872606
"DALTON",1,"12_1","C","M","0_5",212.31727636362
"DALTON",1,"12_1","C","M","10_15",208.669955170714
"DALTON",1,"12_1","C","M","5_10",87.5047566317605
"DALTON",1,"12_1","C","O","FULL",1227.60949833286
"DALTON",1,"12_1","NE","M","0_5",179.034079943991
"DALTON",1,"12_1","NE","M","5_10",104.17283983799
"DALTON",1,"12_1","NE","O","FULL",1705.99718131388
"DALTON",1,"12_1","NW","M","0_5",191.781692016051
"DALTON",1,"12_1","NW","M","10_15",98.6414238402714
"DALTON",1,"12_1","NW","M","5_10",158.560745424776
"DALTON",1,"12_1","NW","O","FULL",296.030787893773
"DALTON",1,"12_1","SE","M","0_5",167.140443294964
"DALTON",1,"12_1","SE","M","10_15",57.7735469456903
"DALTON",1,"12_1","SE","M","5_10",240.351659478506
"DALTON",1,"12_1","SE","O","FULL",1500.24084472955
"DALTON",1,"12_1","SW","M","0_5",153.218269183854
"DALTON",1,"12_1","SW","M","10_15",284.631115160472
"DALTON",1,"12_1","SW","M","5_10",130.824316117944
"DALTON",1,"12_1","SW","O","FULL",92.8257912651383
"DALTON",1,"50_1","C","M","0_5",18.3233522531149
"DALTON",1,"50_1","C","M","10_15",90.8555265590414
"DALTON",1,"50_1","C","O","FULL",1613.1351352876
"DALTON",1,"50_1","NE","M","0_5",371.894999539745
"DALTON",1,"50_1","NE","M","10_15",48.3980887697248
"DALTON",1,"50_1","NE","O","FULL",1171.94447219352
"DALTON",1,"50_1","NW","M","0_5",165.095651711034
"DALTON",1,"50_1","NW","M","10_15",101.92902171952
"DALTON",1,"50_1","NW","M","5_10",236.605833696104
"DALTON",1,"50_1","NW","O","FULL",280.423116424067
"DALTON",1,"50_1","SE","M","0_5",214.765366141055
"DALTON",1,"50_1","SE","M","10_15",218.916507472509
"DALTON",1,"50_1","SE","M","5_10",281.258557793267
"DALTON",1,"50_1","SE","O","FULL",1664.84015012402
"DALTON",1,"50_1","SW","M","0_5",191.279370484482
"DALTON",1,"50_1","SW","M","10_15",14.0394112878412
"DALTON",1,"50_1","SW","M","5_10",113.922354158462
"DALTON",1,"50_1","SW","O","FULL",1203.6425074748
"DALTON",1,"52_1","C","M","0_5",221.720170575045
"DALTON",1,"52_1","C","M","10_15",94.4288396226836
"DALTON",1,"52_1","C","M","5_10",96.1569063855041
"DALTON",1,"52_1","C","O","FULL",272.165471755358
"DALTON",1,"52_1","NE","M","0_5",102.840520595049
"DALTON",1,"52_1","NE","M","10_15",45.2696890626155
"DALTON",1,"52_1","NE","M","5_10",41.7672139980896
"DALTON",1,"52_1","NE","O","FULL",127.875326564278
"DALTON",1,"52_1","NW","M","0_5",48.6055881975676
"DALTON",1,"52_1","NW","M","10_15",21.8465196216951
"DALTON",1,"52_1","NW","M","5_10",221.793832871929
"DALTON",1,"52_1","NW","O","FULL",2654.34853161533
"DALTON",1,"52_1","SE","M","0_5",121.321802968245
"DALTON",1,"52_1","SE","M","10_15",89.4389779187248
"DALTON",1,"52_1","SE","M","5_10",51.4774955563713
"DALTON",1,"52_1","SE","O","FULL",1005.08183797049
"DALTON",1,"52_1","SW","M","0_5",71.7665590559166
"DALTON",1,"52_1","SW","M","10_15",22.8460328378677
"DALTON",1,"52_1","SW","M","5_10",64.2271826227098
"DALTON",1,"52_1","SW","O","FULL",201.907853479177
"DALTON",1,"64_1","C","M","0_5",402.007085953366
"DALTON",1,"64_1","C","M","5_10",47.3082556637107
"DALTON",1,"64_1","C","O","FULL",1649.75686301084
"DALTON",1,"64_1","NE","M","0_5",488.124190161429
"DALTON",1,"64_1","NE","M","10_15",78.6000916020783
"DALTON",1,"64_1","NE","M","5_10",244.93814613732
"DALTON",1,"64_1","NE","O","FULL",1239.61310967864
"DALTON",1,"64_1","NW","M","0_5",159.973297779815
"DALTON",1,"64_1","NW","M","10_15",48.9008714111338
"DALTON",1,"64_1","NW","M","5_10",85.8232619627447
"DALTON",1,"64_1","NW","O","FULL",1424.06742051027
"DALTON",1,"64_1","SE","M","0_5",61.5208136963407
"DALTON",1,"64_1","SE","M","10_15",154.962820623442
"DALTON",1,"64_1","SE","M","5_10",290.501043419224
"DALTON",1,"64_1","SE","O","FULL",780.926017977229
"DALTON",1,"64_1","SW","M","0_5",180.942267737925
"DALTON",1,"64_1","SW","M","10_15",66.0052798031324
"DALTON",1,"64_1","SW","M","5_10",57.4903678654149
"DALTON",1,"64_1","SW","O","FULL",204.403843785907
"DALTON",1,"65_1","C","M","0_5",309.193225905329
"DALTON",1,"65_1","C","M","10_15",94.1723664872879
"DALTON",1,"65_1","C","M","5_10",148.619390198099
"DALTON",1,"65_1","C","O","FULL",705.829477362635
"DALTON",1,"65_1","NE","M","0_5",53.5451120773645
"DALTON",1,"65_1","NE","M","10_15",107.453866902023
"DALTON",1,"65_1","NE","M","5_10",121.138396529524
"DALTON",1,"65_1","NE","O","FULL",831.357216881613
"DALTON",1,"65_1","NW","M","0_5",254.250432265254
"DALTON",1,"65_1","NW","M","10_15",144.331990909028
"DALTON",1,"65_1","NW","M","5_10",332.139031384751
"DALTON",1,"65_1","NW","O","FULL",1407.31184171196
"DALTON",1,"65_1","SE","M","0_5",432.614519612233
"DALTON",1,"65_1","SE","M","10_15",185.424370656789
"DALTON",1,"65_1","SE","M","5_10",143.420664949688
"DALTON",1,"65_1","SE","O","FULL",4098.02724179959
"DALTON",1,"65_1","SW","M","0_5",248.740976623649
"DALTON",1,"65_1","SW","M","10_15",128.21683603927
"DALTON",1,"65_1","SW","M","5_10",176.368519238431
"DALTON",1,"65_1","SW","O","FULL",543.917673816929
"DALTON",2,"32_2","C","M","0_5",125.632545942948
"DALTON",2,"32_2","C","M","10_15",44.7325537381525
"DALTON",2,"32_2","C","M","5_10",56.8314995432842
"DALTON",2,"32_2","C","O","FULL",1135.17749487078
"DALTON",2,"32_2","NE","M","0_5",100.413238399129
"DALTON",2,"32_2","NE","M","5_10",50.4281248387865
"DALTON",2,"32_2","NE","O","FULL",559.97343609252
"DALTON",2,"32_2","NW","M","0_5",58.3933362089106
"DALTON",2,"32_2","NW","M","10_15",86.6171778291631
"DALTON",2,"32_2","NW","M","5_10",77.4797099691873
"DALTON",2,"32_2","NW","O","FULL",181.96547047211
"DALTON",2,"32_2","SE","M","0_5",158.603686278593
"DALTON",2,"32_2","SE","M","10_15",45.6604796517193
"DALTON",2,"32_2","SE","M","5_10",49.8986554654077
"DALTON",2,"32_2","SE","O","FULL",345.476172386805
"DALTON",2,"32_2","SW","M","0_5",157.513276785279
"DALTON",2,"32_2","SW","M","10_15",44.6425028290507
"DALTON",2,"32_2","SW","M","5_10",50.579195950002
"DALTON",2,"47_2","C","M","0_5",202.457191746182
"DALTON",2,"47_2","C","M","10_15",202.798528304983
"DALTON",2,"47_2","C","M","5_10",558.515143288208
"DALTON",2,"47_2","C","O","FULL",2272.60036410575
"DALTON",2,"47_2","NE","M","0_5",24.6617681089518
"DALTON",2,"47_2","NE","M","5_10",141.428151693828
"DALTON",2,"47_2","NE","O","FULL",406.755133972248
"DALTON",2,"47_2","NW","M","0_5",241.623400416262
"DALTON",2,"47_2","NW","M","5_10",63.8858460639085
"DALTON",2,"47_2","NW","O","FULL",367.735673508637
"DALTON",2,"47_2","SE","M","0_5",479.06995262751
"DALTON",2,"47_2","SE","M","5_10",143.070855497584
"DALTON",2,"47_2","SE","O","FULL",344.94151552773
"DALTON",2,"47_2","SW","M","0_5",504.329664921028
"DALTON",2,"47_2","SW","O","FULL",985.439567479152
"DALTON",2,"56_2","C","M","0_5",228.085446079041
"DALTON",2,"56_2","C","M","5_10",152.408329750508
"DALTON",2,"56_2","C","O","FULL",577.248647120401
"DALTON",2,"56_2","NE","M","0_5",132.711561839994
"DALTON",2,"56_2","NE","M","5_10",81.0454723592052
"DALTON",2,"56_2","NE","O","FULL",469.600384815208
"DALTON",2,"56_2","NW","M","0_5",108.508136911655
"DALTON",2,"56_2","NW","M","10_15",104.754241707059
"DALTON",2,"56_2","NW","M","5_10",116.201639308765
"DALTON",2,"56_2","NW","O","FULL",888.212828626929
"DALTON",2,"56_2","SE","M","0_5",236.689525132001
"DALTON",2,"56_2","SE","M","5_10",65.3148830957156
"DALTON",2,"56_2","SE","O","FULL",1669.8723955074
"DALTON",2,"56_2","SW","M","0_5",125.660154894597
"DALTON",2,"56_2","SW","M","10_15",37.5602783760375
"DALTON",2,"56_2","SW","M","5_10",146.356263105094
"DALTON",2,"56_2","SW","O","FULL",535.189825197843
"DALTON",2,"57_2","C","M","0_5",215.519280728883
"DALTON",2,"57_2","C","M","10_15",86.5648418623628
"DALTON",2,"57_2","C","M","5_10",48.3255792474398
"DALTON",2,"57_2","C","O","FULL",2290.0997130754
"DALTON",2,"57_2","NE","M","0_5",128.578115598636
"DALTON",2,"57_2","NE","M","10_15",47.9456247395677
"DALTON",2,"57_2","NE","M","5_10",66.9908444466556
"DALTON",2,"57_2","NE","O","FULL",6233.93758836884
"DALTON",2,"57_2","NW","M","0_5",79.8940426637778
"DALTON",2,"57_2","NW","M","10_15",6.84067974867626
"DALTON",2,"57_2","NW","M","5_10",41.880185908804
"DALTON",2,"57_2","SE","M","0_5",69.8916288091674
"DALTON",2,"57_2","SE","M","10_15",65.5437088536422
"DALTON",2,"57_2","SE","M","5_10",65.3841072103931
"DALTON",2,"57_2","SE","O","FULL",3254.66695153367
"DALTON",2,"57_2","SW","M","0_5",86.2741121084631
"DALTON",2,"57_2","SW","M","10_15",127.634166118141
"DALTON",2,"57_2","SW","M","5_10",157.415752054193
"DALTON",2,"57_2","SW","O","FULL",4456.77646092074
"DALTON",3,"15_3","C","M","0_5",144.200344049808
"DALTON",3,"15_3","C","M","10_15",50.0875375834746
"DALTON",3,"15_3","C","M","5_10",82.62281384319
"DALTON",3,"15_3","C","O","FULL",181.253410469726
"DALTON",3,"15_3","NE","M","0_5",167.656540482993
"DALTON",3,"15_3","NE","M","10_15",79.5055576238721
"DALTON",3,"15_3","NE","M","5_10",99.2606367161922
"DALTON",3,"15_3","NE","O","FULL",508.157132762261
"DALTON",3,"15_3","NW","M","0_5",171.140110044093
"DALTON",3,"15_3","NW","M","10_15",76.1695816372801
"DALTON",3,"15_3","NW","M","5_10",63.6519673106557
"DALTON",3,"15_3","NW","O","FULL",333.683908962525
"DALTON",3,"15_3","SE","M","0_5",186.83519384993
"DALTON",3,"15_3","SE","M","10_15",41.2663334347691
"DALTON",3,"15_3","SE","M","5_10",117.310954305504
"DALTON",3,"15_3","SE","O","FULL",515.519702848777
"DALTON",3,"15_3","SW","M","0_5",205.836781038441
"DALTON",3,"15_3","SW","M","10_15",93.3885758244319
"DALTON",3,"15_3","SW","M","5_10",123.026410767973
"DALTON",3,"15_3","SW","O","FULL",231.854046677871
"DALTON",3,"37_3","C","M","0_5",171.396948224779
"DALTON",3,"37_3","C","M","10_15",49.2669926238164
"DALTON",3,"37_3","C","M","5_10",80.4504677498661
"DALTON",3,"37_3","C","O","FULL",154.010686443294
"DALTON",3,"37_3","NE","M","0_5",85.1681977967911
"DALTON",3,"37_3","NE","M","10_15",40.4721870134309
"DALTON",3,"37_3","NE","M","5_10",42.3501144741379
"DALTON",3,"37_3","NE","O","FULL",577.649587749268
"DALTON",3,"37_3","NW","M","0_5",161.705687447382
"DALTON",3,"37_3","NW","M","10_15",85.0773591583799
"DALTON",3,"37_3","NW","M","5_10",55.8438599054826
"DALTON",3,"37_3","NW","O","FULL",226.460264449193
"DALTON",3,"37_3","SE","M","0_5",106.665887824791
"DALTON",3,"37_3","SE","M","10_15",1334.61672271645
"DALTON",3,"37_3","SE","M","5_10",3.96831128003289
"DALTON",3,"37_3","SW","M","0_5",110.653392801899
"DALTON",3,"37_3","SW","M","10_15",87.240137222531
"DALTON",3,"37_3","SW","M","5_10",188.907479108049
"DALTON",3,"37_3","SW","O","FULL",647.21838203195
