"SITE","TREAT","PLOT","TAB","veg_weight_gm2","Type","Carbon_m2"
"DALTON",0,"10_0",9609.39256554789,16,"Overstory",9591.52733952272
"DALTON",0,"10_0",9609.39256554789,16,"Understory",1.78728492414571
"DALTON",0,"10_0",9609.39256554789,16,"CWD",0.07794110103
"DALTON",0,"10_0",9609.39256554789,16,"Soil",352.426061528803
"DALTON",0,"10_0",9609.39256554789,16,"totalC",9961.8186270767
"DALTON",0,"11_0",7109.50107889566,16,"Overstory",6893.14175566054
"DALTON",0,"11_0",7109.50107889566,16,"Understory",199.873753756316
"DALTON",0,"11_0",7109.50107889566,16,"CWD",0.4855694788
"DALTON",0,"11_0",7109.50107889566,16,"Soil",251.125669761911
"DALTON",0,"11_0",7109.50107889566,16,"totalC",7360.62674865757
"DALTON",0,"44_0",9883.50963928422,16,"Overstory",9814.82059801194
"DALTON",0,"44_0",9883.50963928422,16,"Understory",51.9297005040849
"DALTON",0,"44_0",9883.50963928422,16,"CWD",0.7593407682
"DALTON",0,"44_0",9883.50963928422,16,"Soil",1047.6595777415
"DALTON",0,"44_0",9883.50963928422,16,"totalC",10931.1692170257
"DALTON",0,"58_0",11561.2134284011,16,"Overstory",11489.5006107708
"DALTON",0,"58_0",11561.2134284011,16,"Understory",55.2933291996873
"DALTON",0,"58_0",11561.2134284011,16,"CWD",0.4194884306
"DALTON",0,"58_0",11561.2134284011,16,"Soil",247.588307456344
"DALTON",0,"58_0",11561.2134284011,16,"totalC",11808.8017358574
"DALTON",1,"12_1",618.830857643887,52,"Overstory",49.3101966952681
"DALTON",1,"12_1",618.830857643887,52,"Understory",517.029979493719
"DALTON",1,"12_1",618.830857643887,52,"CWD",0.4906814549
"DALTON",1,"12_1",618.830857643887,52,"Soil",119.726320368039
"DALTON",1,"12_1",618.830857643887,52,"totalC",738.557178011927
"DALTON",1,"12_1",611.830857643887,45,"Overstory",49.3101966952681
"DALTON",1,"12_1",611.830857643887,45,"Understory",517.029979493719
"DALTON",1,"12_1",611.830857643887,45,"CWD",0.4906814549
"DALTON",1,"12_1",611.830857643887,45,"Soil",119.726320368039
"DALTON",1,"12_1",611.830857643887,45,"totalC",731.557178011927
"DALTON",1,"12_1",650.330857643887,83.5,"Overstory",49.3101966952681
"DALTON",1,"12_1",650.330857643887,83.5,"Understory",517.029979493719
"DALTON",1,"12_1",650.330857643887,83.5,"CWD",0.4906814549
"DALTON",1,"12_1",650.330857643887,83.5,"Soil",119.726320368039
"DALTON",1,"12_1",650.330857643887,83.5,"totalC",770.057178011927
"DALTON",1,"12_1",645.830857643887,79,"Overstory",49.3101966952681
"DALTON",1,"12_1",645.830857643887,79,"Understory",517.029979493719
"DALTON",1,"12_1",645.830857643887,79,"CWD",0.4906814549
"DALTON",1,"12_1",645.830857643887,79,"Soil",119.726320368039
"DALTON",1,"12_1",645.830857643887,79,"totalC",765.557178011927
"DALTON",1,"41_1",957.76985073165,52,"Overstory",782.03957908526
"DALTON",1,"41_1",957.76985073165,52,"Understory",123.21909763799
"DALTON",1,"41_1",957.76985073165,52,"CWD",0.5111740084
"DALTON",1,"41_1",957.76985073165,52,"Soil",232.810303462306
"DALTON",1,"41_1",957.76985073165,52,"totalC",1190.58015419396
"DALTON",1,"41_1",950.76985073165,45,"Overstory",782.03957908526
"DALTON",1,"41_1",950.76985073165,45,"Understory",123.21909763799
"DALTON",1,"41_1",950.76985073165,45,"CWD",0.5111740084
"DALTON",1,"41_1",950.76985073165,45,"Soil",232.810303462306
"DALTON",1,"41_1",950.76985073165,45,"totalC",1183.58015419396
"DALTON",1,"41_1",989.26985073165,83.5,"Overstory",782.03957908526
"DALTON",1,"41_1",989.26985073165,83.5,"Understory",123.21909763799
"DALTON",1,"41_1",989.26985073165,83.5,"CWD",0.5111740084
"DALTON",1,"41_1",989.26985073165,83.5,"Soil",232.810303462306
"DALTON",1,"41_1",989.26985073165,83.5,"totalC",1222.08015419396
"DALTON",1,"41_1",984.76985073165,79,"Overstory",782.03957908526
"DALTON",1,"41_1",984.76985073165,79,"Understory",123.21909763799
"DALTON",1,"41_1",984.76985073165,79,"CWD",0.5111740084
"DALTON",1,"41_1",984.76985073165,79,"Soil",232.810303462306
"DALTON",1,"41_1",984.76985073165,79,"totalC",1217.58015419396
"DALTON",1,"42_1",2181.80952351298,52,"Overstory",1866.30744919492
"DALTON",1,"42_1",2181.80952351298,52,"Understory",263.079326087159
"DALTON",1,"42_1",2181.80952351298,52,"CWD",0.4227482309
"DALTON",1,"42_1",2181.80952351298,52,"Soil",787.829258981524
"DALTON",1,"42_1",2181.80952351298,52,"totalC",2969.6387824945
"DALTON",1,"42_1",2174.80952351298,45,"Overstory",1866.30744919492
"DALTON",1,"42_1",2174.80952351298,45,"Understory",263.079326087159
"DALTON",1,"42_1",2174.80952351298,45,"CWD",0.4227482309
"DALTON",1,"42_1",2174.80952351298,45,"Soil",787.829258981524
"DALTON",1,"42_1",2174.80952351298,45,"totalC",2962.6387824945
"DALTON",1,"42_1",2213.30952351298,83.5,"Overstory",1866.30744919492
"DALTON",1,"42_1",2213.30952351298,83.5,"Understory",263.079326087159
"DALTON",1,"42_1",2213.30952351298,83.5,"CWD",0.4227482309
"DALTON",1,"42_1",2213.30952351298,83.5,"Soil",787.829258981524
"DALTON",1,"42_1",2213.30952351298,83.5,"totalC",3001.1387824945
"DALTON",1,"42_1",2208.80952351298,79,"Overstory",1866.30744919492
"DALTON",1,"42_1",2208.80952351298,79,"Understory",263.079326087159
"DALTON",1,"42_1",2208.80952351298,79,"CWD",0.4227482309
"DALTON",1,"42_1",2208.80952351298,79,"Soil",787.829258981524
"DALTON",1,"42_1",2208.80952351298,79,"totalC",2996.6387824945
"DALTON",1,"48_1",3239.82389969126,52,"Overstory",2591.42738897713
"DALTON",1,"48_1",3239.82389969126,52,"Understory",595.92546153273
"DALTON",1,"48_1",3239.82389969126,52,"CWD",0.4710491814
"DALTON",1,"48_1",3239.82389969126,52,"Soil",299.475721378665
"DALTON",1,"48_1",3239.82389969126,52,"totalC",3539.29962106992
"DALTON",1,"48_1",3232.82389969126,45,"Overstory",2591.42738897713
"DALTON",1,"48_1",3232.82389969126,45,"Understory",595.92546153273
"DALTON",1,"48_1",3232.82389969126,45,"CWD",0.4710491814
"DALTON",1,"48_1",3232.82389969126,45,"Soil",299.475721378665
"DALTON",1,"48_1",3232.82389969126,45,"totalC",3532.29962106992
"DALTON",1,"48_1",3271.32389969126,83.5,"Overstory",2591.42738897713
"DALTON",1,"48_1",3271.32389969126,83.5,"Understory",595.92546153273
"DALTON",1,"48_1",3271.32389969126,83.5,"CWD",0.4710491814
"DALTON",1,"48_1",3271.32389969126,83.5,"Soil",299.475721378665
"DALTON",1,"48_1",3271.32389969126,83.5,"totalC",3570.79962106992
"DALTON",1,"48_1",3266.82389969126,79,"Overstory",2591.42738897713
"DALTON",1,"48_1",3266.82389969126,79,"Understory",595.92546153273
"DALTON",1,"48_1",3266.82389969126,79,"CWD",0.4710491814
"DALTON",1,"48_1",3266.82389969126,79,"Soil",299.475721378665
"DALTON",1,"48_1",3266.82389969126,79,"totalC",3566.29962106992
"DALTON",1,"50_1",248.896578139496,52,"Overstory",74.2282340228578
"DALTON",1,"50_1",248.896578139496,52,"Understory",122.444383458338
"DALTON",1,"50_1",248.896578139496,52,"CWD",0.2239606583
"DALTON",1,"50_1",248.896578139496,52,"Soil",144.157311211005
"DALTON",1,"50_1",248.896578139496,52,"totalC",393.053889350501
"DALTON",1,"50_1",241.896578139496,45,"Overstory",74.2282340228578
"DALTON",1,"50_1",241.896578139496,45,"Understory",122.444383458338
"DALTON",1,"50_1",241.896578139496,45,"CWD",0.2239606583
"DALTON",1,"50_1",241.896578139496,45,"Soil",144.157311211005
"DALTON",1,"50_1",241.896578139496,45,"totalC",386.053889350501
"DALTON",1,"50_1",280.396578139496,83.5,"Overstory",74.2282340228578
"DALTON",1,"50_1",280.396578139496,83.5,"Understory",122.444383458338
"DALTON",1,"50_1",280.396578139496,83.5,"CWD",0.2239606583
"DALTON",1,"50_1",280.396578139496,83.5,"Soil",144.157311211005
"DALTON",1,"50_1",280.396578139496,83.5,"totalC",424.553889350501
"DALTON",1,"50_1",275.896578139496,79,"Overstory",74.2282340228578
"DALTON",1,"50_1",275.896578139496,79,"Understory",122.444383458338
"DALTON",1,"50_1",275.896578139496,79,"CWD",0.2239606583
"DALTON",1,"50_1",275.896578139496,79,"Soil",144.157311211005
"DALTON",1,"50_1",275.896578139496,79,"totalC",420.053889350501
"DALTON",1,"52_1",1938.83786461481,52,"Overstory",1861.36484762533
"DALTON",1,"52_1",1938.83786461481,52,"Understory",25.0681488409844
"DALTON",1,"52_1",1938.83786461481,52,"CWD",0.4048681485
"DALTON",1,"52_1",1938.83786461481,52,"Soil",117.480959456347
"DALTON",1,"52_1",1938.83786461481,52,"totalC",2056.31882407116
"DALTON",1,"52_1",1931.83786461481,45,"Overstory",1861.36484762533
"DALTON",1,"52_1",1931.83786461481,45,"Understory",25.0681488409844
"DALTON",1,"52_1",1931.83786461481,45,"CWD",0.4048681485
"DALTON",1,"52_1",1931.83786461481,45,"Soil",117.480959456347
"DALTON",1,"52_1",1931.83786461481,45,"totalC",2049.31882407116
"DALTON",1,"52_1",1970.33786461481,83.5,"Overstory",1861.36484762533
"DALTON",1,"52_1",1970.33786461481,83.5,"Understory",25.0681488409844
"DALTON",1,"52_1",1970.33786461481,83.5,"CWD",0.4048681485
"DALTON",1,"52_1",1970.33786461481,83.5,"Soil",117.480959456347
"DALTON",1,"52_1",1970.33786461481,83.5,"totalC",2087.81882407116
"DALTON",1,"52_1",1965.83786461481,79,"Overstory",1861.36484762533
"DALTON",1,"52_1",1965.83786461481,79,"Understory",25.0681488409844
"DALTON",1,"52_1",1965.83786461481,79,"CWD",0.4048681485
"DALTON",1,"52_1",1965.83786461481,79,"Soil",117.480959456347
"DALTON",1,"52_1",1965.83786461481,79,"totalC",2083.31882407116
"DALTON",1,"64_1",2093.60375838257,52,"Overstory",1325.35462407805
"DALTON",1,"64_1",2093.60375838257,52,"Understory",715.455026813724
"DALTON",1,"64_1",2093.60375838257,52,"CWD",0.7941074908
"DALTON",1,"64_1",2093.60375838257,52,"Soil",155.197313234685
"DALTON",1,"64_1",2093.60375838257,52,"totalC",2248.80107161726
"DALTON",1,"64_1",2086.60375838257,45,"Overstory",1325.35462407805
"DALTON",1,"64_1",2086.60375838257,45,"Understory",715.455026813724
"DALTON",1,"64_1",2086.60375838257,45,"CWD",0.7941074908
"DALTON",1,"64_1",2086.60375838257,45,"Soil",155.197313234685
"DALTON",1,"64_1",2086.60375838257,45,"totalC",2241.80107161726
"DALTON",1,"64_1",2125.10375838257,83.5,"Overstory",1325.35462407805
"DALTON",1,"64_1",2125.10375838257,83.5,"Understory",715.455026813724
"DALTON",1,"64_1",2125.10375838257,83.5,"CWD",0.7941074908
"DALTON",1,"64_1",2125.10375838257,83.5,"Soil",155.197313234685
"DALTON",1,"64_1",2125.10375838257,83.5,"totalC",2280.30107161726
"DALTON",1,"64_1",2120.60375838257,79,"Overstory",1325.35462407805
"DALTON",1,"64_1",2120.60375838257,79,"Understory",715.455026813724
"DALTON",1,"64_1",2120.60375838257,79,"CWD",0.7941074908
"DALTON",1,"64_1",2120.60375838257,79,"Soil",155.197313234685
"DALTON",1,"64_1",2120.60375838257,79,"totalC",2275.80107161726
"DALTON",1,"65_1",2218.5414651692,52,"Overstory",1713.77194334357
"DALTON",1,"65_1",2218.5414651692,52,"Understory",451.839961754034
"DALTON",1,"65_1",2218.5414651692,52,"CWD",0.9295600716
"DALTON",1,"65_1",2218.5414651692,52,"Soil",140.847806972255
"DALTON",1,"65_1",2218.5414651692,52,"totalC",2359.38927214146
"DALTON",1,"65_1",2211.5414651692,45,"Overstory",1713.77194334357
"DALTON",1,"65_1",2211.5414651692,45,"Understory",451.839961754034
"DALTON",1,"65_1",2211.5414651692,45,"CWD",0.9295600716
"DALTON",1,"65_1",2211.5414651692,45,"Soil",140.847806972255
"DALTON",1,"65_1",2211.5414651692,45,"totalC",2352.38927214146
"DALTON",1,"65_1",2250.0414651692,83.5,"Overstory",1713.77194334357
"DALTON",1,"65_1",2250.0414651692,83.5,"Understory",451.839961754034
"DALTON",1,"65_1",2250.0414651692,83.5,"CWD",0.9295600716
"DALTON",1,"65_1",2250.0414651692,83.5,"Soil",140.847806972255
"DALTON",1,"65_1",2250.0414651692,83.5,"totalC",2390.88927214146
"DALTON",1,"65_1",2245.5414651692,79,"Overstory",1713.77194334357
"DALTON",1,"65_1",2245.5414651692,79,"Understory",451.839961754034
"DALTON",1,"65_1",2245.5414651692,79,"CWD",0.9295600716
"DALTON",1,"65_1",2245.5414651692,79,"Soil",140.847806972255
"DALTON",1,"65_1",2245.5414651692,79,"totalC",2386.38927214146
"DALTON",2,"16_2",935.702527728373,49.3333333333333,"Overstory",483.557814379757
"DALTON",2,"16_2",935.702527728373,49.3333333333333,"Understory",401.866969585283
"DALTON",2,"16_2",935.702527728373,49.3333333333333,"CWD",0.94441043
"DALTON",2,"16_2",935.702527728373,49.3333333333333,"Soil",213.392148687808
"DALTON",2,"16_2",935.702527728373,49.3333333333333,"totalC",1149.09467641618
"DALTON",2,"16_2",998.36919439504,112,"Overstory",483.557814379757
"DALTON",2,"16_2",998.36919439504,112,"Understory",401.866969585283
"DALTON",2,"16_2",998.36919439504,112,"CWD",0.94441043
"DALTON",2,"16_2",998.36919439504,112,"Soil",213.392148687808
"DALTON",2,"16_2",998.36919439504,112,"totalC",1211.76134308285
"DALTON",2,"16_2",907.36919439504,21,"Overstory",483.557814379757
"DALTON",2,"16_2",907.36919439504,21,"Understory",401.866969585283
"DALTON",2,"16_2",907.36919439504,21,"CWD",0.94441043
"DALTON",2,"16_2",907.36919439504,21,"Soil",213.392148687808
"DALTON",2,"16_2",907.36919439504,21,"totalC",1120.76134308285
"DALTON",2,"16_2",916.36919439504,30,"Overstory",483.557814379757
"DALTON",2,"16_2",916.36919439504,30,"Understory",401.866969585283
"DALTON",2,"16_2",916.36919439504,30,"CWD",0.94441043
"DALTON",2,"16_2",916.36919439504,30,"Soil",213.392148687808
"DALTON",2,"16_2",916.36919439504,30,"totalC",1129.76134308285
"DALTON",2,"16_2",902.36919439504,16,"Overstory",483.557814379757
"DALTON",2,"16_2",902.36919439504,16,"Understory",401.866969585283
"DALTON",2,"16_2",902.36919439504,16,"CWD",0.94441043
"DALTON",2,"16_2",902.36919439504,16,"Soil",213.392148687808
"DALTON",2,"16_2",902.36919439504,16,"totalC",1115.76134308285
"DALTON",2,"32_2",1779.60112709816,49.3333333333333,"Overstory",1394.60355379155
"DALTON",2,"32_2",1779.60112709816,49.3333333333333,"Understory",335.379030688081
"DALTON",2,"32_2",1779.60112709816,49.3333333333333,"CWD",0.2852092852
"DALTON",2,"32_2",1779.60112709816,49.3333333333333,"Soil",49.0641672824773
"DALTON",2,"32_2",1779.60112709816,49.3333333333333,"totalC",1828.66529438064
"DALTON",2,"32_2",1842.26779376483,112,"Overstory",1394.60355379155
"DALTON",2,"32_2",1842.26779376483,112,"Understory",335.379030688081
"DALTON",2,"32_2",1842.26779376483,112,"CWD",0.2852092852
"DALTON",2,"32_2",1842.26779376483,112,"Soil",49.0641672824773
"DALTON",2,"32_2",1842.26779376483,112,"totalC",1891.33196104731
"DALTON",2,"32_2",1751.26779376483,21,"Overstory",1394.60355379155
"DALTON",2,"32_2",1751.26779376483,21,"Understory",335.379030688081
"DALTON",2,"32_2",1751.26779376483,21,"CWD",0.2852092852
"DALTON",2,"32_2",1751.26779376483,21,"Soil",49.0641672824773
"DALTON",2,"32_2",1751.26779376483,21,"totalC",1800.33196104731
"DALTON",2,"32_2",1760.26779376483,30,"Overstory",1394.60355379155
"DALTON",2,"32_2",1760.26779376483,30,"Understory",335.379030688081
"DALTON",2,"32_2",1760.26779376483,30,"CWD",0.2852092852
"DALTON",2,"32_2",1760.26779376483,30,"Soil",49.0641672824773
"DALTON",2,"32_2",1760.26779376483,30,"totalC",1809.33196104731
"DALTON",2,"32_2",1746.26779376483,16,"Overstory",1394.60355379155
"DALTON",2,"32_2",1746.26779376483,16,"Understory",335.379030688081
"DALTON",2,"32_2",1746.26779376483,16,"CWD",0.2852092852
"DALTON",2,"32_2",1746.26779376483,16,"Soil",49.0641672824773
"DALTON",2,"32_2",1746.26779376483,16,"totalC",1795.33196104731
"DALTON",2,"39_2",307.308342526526,49.3333333333333,"Overstory",243.202151863146
"DALTON",2,"39_2",307.308342526526,49.3333333333333,"Understory",14.5757992159469
"DALTON",2,"39_2",307.308342526526,49.3333333333333,"CWD",0.1970581141
"DALTON",2,"39_2",307.308342526526,49.3333333333333,"Soil",503.080414553988
"DALTON",2,"39_2",307.308342526526,49.3333333333333,"totalC",810.388757080514
"DALTON",2,"39_2",369.975009193193,112,"Overstory",243.202151863146
"DALTON",2,"39_2",369.975009193193,112,"Understory",14.5757992159469
"DALTON",2,"39_2",369.975009193193,112,"CWD",0.1970581141
"DALTON",2,"39_2",369.975009193193,112,"Soil",503.080414553988
"DALTON",2,"39_2",369.975009193193,112,"totalC",873.055423747181
"DALTON",2,"39_2",278.975009193193,21,"Overstory",243.202151863146
"DALTON",2,"39_2",278.975009193193,21,"Understory",14.5757992159469
"DALTON",2,"39_2",278.975009193193,21,"CWD",0.1970581141
"DALTON",2,"39_2",278.975009193193,21,"Soil",503.080414553988
"DALTON",2,"39_2",278.975009193193,21,"totalC",782.055423747181
"DALTON",2,"39_2",287.975009193193,30,"Overstory",243.202151863146
"DALTON",2,"39_2",287.975009193193,30,"Understory",14.5757992159469
"DALTON",2,"39_2",287.975009193193,30,"CWD",0.1970581141
"DALTON",2,"39_2",287.975009193193,30,"Soil",503.080414553988
"DALTON",2,"39_2",287.975009193193,30,"totalC",791.055423747181
"DALTON",2,"39_2",273.975009193193,16,"Overstory",243.202151863146
"DALTON",2,"39_2",273.975009193193,16,"Understory",14.5757992159469
"DALTON",2,"39_2",273.975009193193,16,"CWD",0.1970581141
"DALTON",2,"39_2",273.975009193193,16,"Soil",503.080414553988
"DALTON",2,"39_2",273.975009193193,16,"totalC",777.055423747181
"DALTON",2,"40_2",1305.76615793303,49.3333333333333,"Overstory",1248.59650825905
"DALTON",2,"40_2",1305.76615793303,49.3333333333333,"Understory",7.4345983140493
"DALTON",2,"40_2",1305.76615793303,49.3333333333333,"CWD",0.4017180266
"DALTON",2,"40_2",1305.76615793303,49.3333333333333,"Soil",284.047119762971
"DALTON",2,"40_2",1305.76615793303,49.3333333333333,"totalC",1589.813277696
"DALTON",2,"40_2",1368.4328245997,112,"Overstory",1248.59650825905
"DALTON",2,"40_2",1368.4328245997,112,"Understory",7.4345983140493
"DALTON",2,"40_2",1368.4328245997,112,"CWD",0.4017180266
"DALTON",2,"40_2",1368.4328245997,112,"Soil",284.047119762971
"DALTON",2,"40_2",1368.4328245997,112,"totalC",1652.47994436267
"DALTON",2,"40_2",1277.4328245997,21,"Overstory",1248.59650825905
"DALTON",2,"40_2",1277.4328245997,21,"Understory",7.4345983140493
"DALTON",2,"40_2",1277.4328245997,21,"CWD",0.4017180266
"DALTON",2,"40_2",1277.4328245997,21,"Soil",284.047119762971
"DALTON",2,"40_2",1277.4328245997,21,"totalC",1561.47994436267
"DALTON",2,"40_2",1286.4328245997,30,"Overstory",1248.59650825905
"DALTON",2,"40_2",1286.4328245997,30,"Understory",7.4345983140493
"DALTON",2,"40_2",1286.4328245997,30,"CWD",0.4017180266
"DALTON",2,"40_2",1286.4328245997,30,"Soil",284.047119762971
"DALTON",2,"40_2",1286.4328245997,30,"totalC",1570.47994436267
"DALTON",2,"40_2",1272.4328245997,16,"Overstory",1248.59650825905
"DALTON",2,"40_2",1272.4328245997,16,"Understory",7.4345983140493
"DALTON",2,"40_2",1272.4328245997,16,"CWD",0.4017180266
"DALTON",2,"40_2",1272.4328245997,16,"Soil",284.047119762971
"DALTON",2,"40_2",1272.4328245997,16,"totalC",1556.47994436267
"DALTON",2,"47_2",817.305243393699,49.3333333333333,"Overstory",461.873180812436
"DALTON",2,"47_2",817.305243393699,49.3333333333333,"Understory",306
"DALTON",2,"47_2",817.305243393699,49.3333333333333,"CWD",0.09872924793
"DALTON",2,"47_2",817.305243393699,49.3333333333333,"Soil",212.603450376684
"DALTON",2,"47_2",817.305243393699,49.3333333333333,"totalC",1029.90869377038
"DALTON",2,"47_2",879.971910060366,112,"Overstory",461.873180812436
"DALTON",2,"47_2",879.971910060366,112,"Understory",306
"DALTON",2,"47_2",879.971910060366,112,"CWD",0.09872924793
"DALTON",2,"47_2",879.971910060366,112,"Soil",212.603450376684
"DALTON",2,"47_2",879.971910060366,112,"totalC",1092.57536043705
"DALTON",2,"47_2",788.971910060366,21,"Overstory",461.873180812436
"DALTON",2,"47_2",788.971910060366,21,"Understory",306
"DALTON",2,"47_2",788.971910060366,21,"CWD",0.09872924793
"DALTON",2,"47_2",788.971910060366,21,"Soil",212.603450376684
"DALTON",2,"47_2",788.971910060366,21,"totalC",1001.57536043705
"DALTON",2,"47_2",797.971910060366,30,"Overstory",461.873180812436
"DALTON",2,"47_2",797.971910060366,30,"Understory",306
"DALTON",2,"47_2",797.971910060366,30,"CWD",0.09872924793
"DALTON",2,"47_2",797.971910060366,30,"Soil",212.603450376684
"DALTON",2,"47_2",797.971910060366,30,"totalC",1010.57536043705
"DALTON",2,"47_2",783.971910060366,16,"Overstory",461.873180812436
"DALTON",2,"47_2",783.971910060366,16,"Understory",306
"DALTON",2,"47_2",783.971910060366,16,"CWD",0.09872924793
"DALTON",2,"47_2",783.971910060366,16,"Soil",212.603450376684
"DALTON",2,"47_2",783.971910060366,16,"totalC",996.57536043705
"DALTON",2,"56_2",932.659026104491,49.3333333333333,"Overstory",374.953291587511
"DALTON",2,"56_2",932.659026104491,49.3333333333333,"Understory",508.258969666547
"DALTON",2,"56_2",932.659026104491,49.3333333333333,"CWD",0.1134315171
"DALTON",2,"56_2",932.659026104491,49.3333333333333,"Soil",106.502863869619
"DALTON",2,"56_2",932.659026104491,49.3333333333333,"totalC",1039.16188997411
"DALTON",2,"56_2",995.325692771158,112,"Overstory",374.953291587511
"DALTON",2,"56_2",995.325692771158,112,"Understory",508.258969666547
"DALTON",2,"56_2",995.325692771158,112,"CWD",0.1134315171
"DALTON",2,"56_2",995.325692771158,112,"Soil",106.502863869619
"DALTON",2,"56_2",995.325692771158,112,"totalC",1101.82855664078
"DALTON",2,"56_2",904.325692771158,21,"Overstory",374.953291587511
"DALTON",2,"56_2",904.325692771158,21,"Understory",508.258969666547
"DALTON",2,"56_2",904.325692771158,21,"CWD",0.1134315171
"DALTON",2,"56_2",904.325692771158,21,"Soil",106.502863869619
"DALTON",2,"56_2",904.325692771158,21,"totalC",1010.82855664078
"DALTON",2,"56_2",913.325692771158,30,"Overstory",374.953291587511
"DALTON",2,"56_2",913.325692771158,30,"Understory",508.258969666547
"DALTON",2,"56_2",913.325692771158,30,"CWD",0.1134315171
"DALTON",2,"56_2",913.325692771158,30,"Soil",106.502863869619
"DALTON",2,"56_2",913.325692771158,30,"totalC",1019.82855664078
"DALTON",2,"56_2",899.325692771158,16,"Overstory",374.953291587511
"DALTON",2,"56_2",899.325692771158,16,"Understory",508.258969666547
"DALTON",2,"56_2",899.325692771158,16,"CWD",0.1134315171
"DALTON",2,"56_2",899.325692771158,16,"Soil",106.502863869619
"DALTON",2,"56_2",899.325692771158,16,"totalC",1005.82855664078
"DALTON",2,"57_2",1662.47679896791,49.3333333333333,"Overstory",1017.70019774267
"DALTON",2,"57_2",1662.47679896791,49.3333333333333,"Understory",595.260532234902
"DALTON",2,"57_2",1662.47679896791,49.3333333333333,"CWD",0.182735657
"DALTON",2,"57_2",1662.47679896791,49.3333333333333,"Soil",49.9520500952777
"DALTON",2,"57_2",1662.47679896791,49.3333333333333,"totalC",1712.42884906318
"DALTON",2,"57_2",1725.14346563457,112,"Overstory",1017.70019774267
"DALTON",2,"57_2",1725.14346563457,112,"Understory",595.260532234902
"DALTON",2,"57_2",1725.14346563457,112,"CWD",0.182735657
"DALTON",2,"57_2",1725.14346563457,112,"Soil",49.9520500952777
"DALTON",2,"57_2",1725.14346563457,112,"totalC",1775.09551572985
"DALTON",2,"57_2",1634.14346563457,21,"Overstory",1017.70019774267
"DALTON",2,"57_2",1634.14346563457,21,"Understory",595.260532234902
"DALTON",2,"57_2",1634.14346563457,21,"CWD",0.182735657
"DALTON",2,"57_2",1634.14346563457,21,"Soil",49.9520500952777
"DALTON",2,"57_2",1634.14346563457,21,"totalC",1684.09551572985
"DALTON",2,"57_2",1643.14346563457,30,"Overstory",1017.70019774267
"DALTON",2,"57_2",1643.14346563457,30,"Understory",595.260532234902
"DALTON",2,"57_2",1643.14346563457,30,"CWD",0.182735657
"DALTON",2,"57_2",1643.14346563457,30,"Soil",49.9520500952777
"DALTON",2,"57_2",1643.14346563457,30,"totalC",1693.09551572985
"DALTON",2,"57_2",1629.14346563457,16,"Overstory",1017.70019774267
"DALTON",2,"57_2",1629.14346563457,16,"Understory",595.260532234902
"DALTON",2,"57_2",1629.14346563457,16,"CWD",0.182735657
"DALTON",2,"57_2",1629.14346563457,16,"Soil",49.9520500952777
"DALTON",2,"57_2",1629.14346563457,16,"totalC",1679.09551572985
"DALTON",2,"8_2",1603.35827247887,49.3333333333333,"Overstory",1273.09770248219
"DALTON",2,"8_2",1603.35827247887,49.3333333333333,"Understory",280.810750169751
"DALTON",2,"8_2",1603.35827247887,49.3333333333333,"CWD",0.1164864936
"DALTON",2,"8_2",1603.35827247887,49.3333333333333,"Soil",334.73301163015
"DALTON",2,"8_2",1603.35827247887,49.3333333333333,"totalC",1938.09128410902
"DALTON",2,"8_2",1666.02493914554,112,"Overstory",1273.09770248219
