"SAMPLE","PLOT","TREAT","CORNER","VIAL","ORG_MIN","COARSE_FINE","DIVID","VIAL_WEIGHT","BAG","NOTES","DRY_WEIGHT_BAG","DUP","SITE","DEPTH_CM","DEPTH","DRY_WEIGHT"
"1_0C_O","1_0",0,"C","949","O","","N",10.77,NA,"",20.03,"","STEESE",22,"FULL",30.8
"1_0C_MC","1_0",0,"C","967","M","C","N",14.49,NA,"",203.07,"","STEESE",15,"FULL",217.56
"1_0C_MF","1_0",0,"C","968","M","F","N",20.14,NA,"",49.47,"","STEESE",15,"FULL",69.61
"1_0NE_O","1_0",0,"NE","961","O","","N",31.49,NA,"",5.07,"","STEESE",22,"FULL",36.56
"1_0NW_O","1_0",0,"NW","954","O","","N",4.55,NA,"",6.12,"","STEESE",21,"FULL",10.67
"1_0NW_MC","1_0",0,"NW","977","M","C","N",16.15,NA,"",10.35,"","STEESE",15,"FULL",26.5
"1_0NW_MF","1_0",0,"NW","978","M","F","N",19.33,NA,"",14.7,"","STEESE",15,"FULL",34.03
"1_0SE_O","1_0",0,"SE","948","O","","N",14.11,NA,"",45.02,"","STEESE",16,"FULL",59.13
"1_0SE_MC","1_0",0,"SE","973","M","C","N",42.05,NA,"",214.6,"","STEESE",15,"FULL",256.65
"1_0SE_MF","1_0",0,"SE","974","M","F","N",23.97,NA,"",144.73,"","STEESE",15,"FULL",168.7
"1_0SW_O","1_0",0,"SW","962","O","","N",4.24,NA,"",22.64,"","STEESE",21.5,"FULL",26.88
"1_0SW_MC","1_0",0,"SW","952","M","C","N",16.88,NA,"",142.6733333,"","STEESE",15,"FULL",159.5533333
"1_0SW_MF","1_0",0,"SW","969","M","F","N",21.37,NA,"",27.04,"","STEESE",15,"FULL",48.41
"10_0C_O","10_0",0,"C","788","O","","Y",3.94,59,"",13.68,"","DALTON",18,"FULL",17.62
"10_0C_MC","10_0",0,"C","612","M","C","Y",10.15,66,"",0,"","DALTON",5,"10_15",10.15
"10_0C_MC","10_0",0,"C","735","M","C","Y",3.96,84,"",0,"","DALTON",5,"5_10",3.96
"10_0C_MC","10_0",0,"C","768","M","C","Y",13.98,80,"",39,"","DALTON",5,"0_5",52.98
"10_0C_MF","10_0",0,"C","261","M","F","Y",9.1,66,"",80.07,"","DALTON",5,"10_15",89.17
"10_0C_MF","10_0",0,"C","28","M","F","Y",9.17,84,"",11.67,"","DALTON",5,"5_10",20.84
"10_0C_MF","10_0",0,"C","769","M","F","Y",19.12,80,"",50.38,"","DALTON",5,"0_5",69.5
"10_0NE_O","10_0",0,"NE","508","O","","Y",5.97,108,"",18.88,"","DALTON",23,"FULL",24.85
"10_0NE_MC","10_0",0,"NE","764","M","C","Y",1.9,104,"",0,"","DALTON",5,"0_5",1.9
"10_0NE_MC","10_0",0,"NE","770","M","C","Y",12.2,161,"",13.05,"","DALTON",5,"10_15",25.25
"10_0NE_MC","10_0",0,"NE","929","M","C","Y",21.37,72,"",34.01,"DUP","DALTON",5,"5_10",55.38
"10_0NE_MC","10_0",0,"NE","931","M","C","Y",21.12,72,"",34.01,"DUP","DALTON",5,"5_10",55.13
"10_0NE_MF","10_0",0,"NE","151","M","F","Y",9.06,NA,"",109.33,"","DALTON",5,"0_5",118.39
"10_0NE_MF","10_0",0,"NE","771","M","F","Y",14.83,161,"",95.51,"","DALTON",5,"10_15",110.34
"10_0NE_MF","10_0",0,"NE","994","M","F","Y",21,72,"",29.76,"","DALTON",5,"5_10",50.76
"10_0NW_O","10_0",0,"NW","871","O","","Y",3.34,50,"",16.15,"","DALTON",23,"FULL",19.49
"10_0NW_MC","10_0",0,"NW","523","M","C","Y",0.59,145,"",0,"","DALTON",5,"10_15",0.59
"10_0NW_MC","10_0",0,"NW","737","M","C","Y",3.92,97,"",0,"","DALTON",5,"5_10",3.92
"10_0NW_MC","10_0",0,"NW","757","M","C","Y",1.35,141,"",0,"","DALTON",5,"0_5",1.35
"10_0NW_MF","10_0",0,"NW","20","M","F","Y",9.36,NA,"",110.32,"","DALTON",5,"10_15",119.68
"10_0NW_MF","10_0",0,"NW","283","M","F","Y",10.41,97,"",111.65,"","DALTON",5,"5_10",122.06
"10_0NW_MF","10_0",0,"NW","47","M","F","Y",11.08,NA,"",92.91,"","DALTON",5,"0_5",103.99
"10_0SE_O","10_0",0,"SE","580","O","","Y",3.42,35,"",10.44,"","DALTON",19,"FULL",13.86
"10_0SE_MC","10_0",0,"SE","926","M","C","Y",17.21,44,"",4.1,"","DALTON",5,"10_15",21.31
"10_0SE_MC","10_0",0,"SE","938","M","C","Y",17.9,51,"",15.28,"","DALTON",5,"5_10",33.18
"10_0SE_MC","10_0",0,"SE","943","M","C","Y",6.75,100,"",0,"","DALTON",5,"0_5",6.75
"10_0SE_MF","10_0",0,"SE","917","M","F","Y",24.83,44,"",48.33,"","DALTON",5,"10_15",73.16
"10_0SE_MF","10_0",0,"SE","940","M","F","Y",18.38,51,"",47.24,"","DALTON",5,"5_10",65.62
"10_0SE_MF","10_0",0,"SE","944","M","F","Y",16.75,100,"",32.18,"","DALTON",5,"0_5",48.93
"10_0SW_O","10_0",0,"SW","513","O","","Y",5.67,55,"",21.48,"","DALTON",17,"FULL",27.15
"10_0SW_MC","10_0",0,"SW","536","M","C","Y",20.27,33,"",2.61,"","DALTON",5,"10_15",22.88
"10_0SW_MC","10_0",0,"SW","592","M","C","Y",18.72,57,"",0,"","DALTON",5,"0_5",18.72
"10_0SW_MC","10_0",0,"SW","837","M","C","Y",18.57,NA,"",31.33,"","DALTON",5,"5_10",49.9
"10_0SW_MF","10_0",0,"SW","195","M","F","Y",9.81,37,"",91.39,"","DALTON",5,"0_5",101.2
"10_0SW_MF","10_0",0,"SW","295","M","F","Y",14.97,33,"",87.53,"","DALTON",5,"10_15",102.5
"10_0SW_MF","10_0",0,"SW","838","M","F","Y",19.45,68,"",45.39,"","DALTON",5,"5_10",64.84
"11_0C_O","11_0",0,"C","320","O","","Y",3.28,42,"",9.68,"","DALTON",17,"FULL",12.96
"11_0C_MC","11_0",0,"C","441","M","C","Y",2.16,57,"",0,"","DALTON",5,"10_15",2.16
"11_0C_MC","11_0",0,"C","763","M","C","Y",12.4,129,"",0,"","DALTON",5,"0_5",12.4
"11_0C_MF","11_0",0,"C","225","M","F","Y",8.38,57,"",92.82,"","DALTON",5,"10_15",101.2
"11_0C_MF","11_0",0,"C","239","M","F","Y",8.82,155,"NO COARSE",104.31,"","DALTON",5,"5_10",113.13
"11_0C_MF","11_0",0,"C","823","M","F","Y",18.68,129,"",100.28,"","DALTON",5,"0_5",118.96
"11_0NE_O","11_0",0,"NE","383","O","","Y",5.99,130,"",4.27,"DUP","DALTON",16,"FULL",10.26
"11_0NE_O","11_0",0,"NE","762","O","","Y",4.36,130,"",4.27,"DUP","DALTON",16,"FULL",8.63
"11_0NE_MC","11_0",0,"NE","447","M","C","Y",1.51,150,"",0,"","DALTON",5,"10_15",1.51
"11_0NE_MF","11_0",0,"NE","134","M","F","Y",9.75,NA,"NO COARSE",89.86,"","DALTON",5,"5_10",99.61
"11_0NE_MF","11_0",0,"NE","34","M","F","Y",7.37,NA,"",105.5,"","DALTON",5,"10_15",112.87
"11_0NW_O","11_0",0,"NW","571","O","","Y",4.89,21,"",13.03,"","DALTON",20,"FULL",17.92
"11_0NW_M","11_0",0,"NW","803","M","C","Y",3.66,145,"COARSE - FIXED",0,"","DALTON",5,"0_5",3.66
"11_0NW_MC","11_0",0,"NW","380","M","C","Y",1.46,136,"",0,"","DALTON",5,"10_15",1.46
"11_0NW_MC","11_0",0,"NW","818","M","C","Y",2.81,147,"",0,"","DALTON",5,"5_10",2.81
"11_0NW_MF","11_0",0,"NW","165","M","F","Y",10.97,NA,"",88.99,"","DALTON",5,"10_15",99.96
"11_0NW_MF","11_0",0,"NW","243","M","F","Y",11.36,147,"",95.97,"","DALTON",5,"5_10",107.33
"11_0NW_MF","11_0",0,"NW","68","M","F","Y",7.52,NA,"",36.71,"","DALTON",5,"0_5",44.23
"11_0SE_O","11_0",0,"SE","490","O","","Y",3.2,58,"",3.91,"","DALTON",18,"FULL",7.11
"11_0SE_MC","11_0",0,"SE","347","M","C","Y",12.13,121,"",0,"DUP","DALTON",5,"0_5",12.13
"11_0SE_MC","11_0",0,"SE","626","M","C","Y",9.76,26,"",0,"","DALTON",5,"10_15",9.76
"11_0SE_MC","11_0",0,"SE","736","M","C","Y",1.24,149,"",0,"DUP","DALTON",5,"0_5",1.24
"11_0SE_MC","11_0",0,"SE","936","M","C","Y",14.98,141,"",29.81,"","DALTON",5,"5_10",44.79
"11_0SE_MF","11_0",0,"SE","220","M","F","Y",13.33,26,"",74.6,"","DALTON",5,"10_15",87.93
"11_0SE_MF","11_0",0,"SE","228","M","F","Y",7.42,121,"",76.5,"","DALTON",5,"0_5",83.92
"11_0SE_MF","11_0",0,"SE","946","M","F","Y",23.65,141,"",65.66,"","DALTON",5,"5_10",89.31
"11_0SW_O","11_0",0,"SW","561","O","","Y",7.35,14,"",20.22,"","DALTON",17,"FULL",27.57
"11_0SW_MC","11_0",0,"SW","410","M","C","Y",2.61,134,"",0,"","DALTON",5,"0_5",2.61
"11_0SW_MC","11_0",0,"SW","816","M","C","Y",2.57,156,"",0.84,"","DALTON",5,"5_10",3.41
"11_0SW_MF","11_0",0,"SW","121","M","F","Y",10.34,121,"NO COARSE",62.84,"","DALTON",5,"10_15",73.18
"11_0SW_MF","11_0",0,"SW","259","M","F","Y",10.63,156,"",55.83,"","DALTON",5,"5_10",66.46
"11_0SW_MF","11_0",0,"SW","273","M","F","Y",6.38,134,"",44.36,"","DALTON",5,"0_5",50.74
"12_1C_O","12_1",1,"C","649","O","","Y",5.84,91,"",10.3,"","DALTON",2.5,"FULL",16.14
"12_1C_MC","12_1",1,"C","535","M","C","Y",2.38,78,"",0,"","DALTON",5,"0_5",2.38
"12_1C_MC","12_1",1,"C","627","M","C","Y",2.22,70,"",0,"","DALTON",5,"5_10",2.22
"12_1C_MC","12_1",1,"C","760","M","C","Y",0.4,44,"",0,"","DALTON",5,"10_15",0.4
"12_1C_MF","12_1",1,"C","141","M","F","Y",3.14,NA,"",37.69,"","DALTON",5,"0_5",40.83
"12_1C_MF","12_1",1,"C","212","M","F","Y",7.74,70,"",69.99,"","DALTON",5,"5_10",77.73
"12_1C_MF","12_1",1,"C","41","M","F","Y",8.55,NA,"",48.47,"","DALTON",5,"10_15",57.02
"12_1NE_O","12_1",1,"NE","852","O","","Y",6.61,5,"",18.72,"","DALTON",2,"FULL",25.33
"12_1NE_MC","12_1",1,"NE","436","M","C","Y",0.09,85,"",0,"","DALTON",5,"0_5",0.09
"12_1NE_MC","12_1",1,"NE","902","M","C","Y",2.15,52,"",0,"","DALTON",5,"5_10",2.15
"12_1NE_MF","12_1",1,"NE","125","M","F","Y",6.15,85,"",18.94,"","DALTON",5,"0_5",25.09
"12_1NE_MF","12_1",1,"NE","274","M","F","Y",9.22,52,"",26.02,"","DALTON",5,"5_10",35.24
"12_1NW_O","12_1",1,"NW","689","O","","Y",9.53,98,"",10.3,"","DALTON",5,"FULL",19.83
"12_1NW_MC","12_1",1,"NW","652","M","C","Y",2.15,82,"",0,"","DALTON",5,"5_10",2.15
"12_1NW_MC","12_1",1,"NW","714","M","C","Y",2.41,90,"",0,"","DALTON",5,"0_5",2.41
"12_1NW_MF","12_1",1,"NW","164","M","F","Y",7.62,NA,"",117.24,"","DALTON",5,"5_10",124.86
"12_1NW_MF","12_1",1,"NW","255","M","F","Y",5.52,90,"",42.42,"","DALTON",5,"0_5",47.94
"12_1NW_MF","12_1",1,"NW","281","M","F","Y",11.82,83,"NO COARSE",46.39,"","DALTON",5,"10_15",58.21
"12_1SE_O","12_1",1,"SE","741","O","","Y",7.26,38,"",32.62,"","DALTON",3,"FULL",39.88
"12_1SE_MC","12_1",1,"SE","756","M","C","Y",1.62,106,"",0,"","DALTON",5,"10_15",1.62
"12_1SE_MC","12_1",1,"SE","919","M","C","Y",3.15,15,"",0,"","DALTON",5,"0_5",3.15
"12_1SE_MF","12_1",1,"SE","227","M","F","Y",8.46,46,"",52.15,"","DALTON",5,"5_10",60.61
"12_1SE_MF","12_1",1,"SE","269","M","F","Y",6.9,106,"",36.45,"","DALTON",5,"10_15",43.35
"12_1SE_MF","12_1",1,"SE","918","M","F","Y",17.25,15,"",39.06,"","DALTON",5,"0_5",56.31
"12_1SW_O","12_1",1,"SW","638","O","","Y",6.6,NA,"",3.58,"","DALTON",10,"FULL",10.18
"12_1SW_MC","12_1",1,"SW","653","M","C","Y",2.24,46,"",0,"DUP","DALTON",5,"5_10",2.24
"12_1SW_MC","12_1",1,"SW","759","M","C","Y",4.41,57,"",0,"DUP","DALTON",5,"5_10",4.41
"12_1SW_MC","12_1",1,"SW","817","M","C","Y",1.53,77,"",0,"","DALTON",5,"0_5",1.53
"12_1SW_MF","12_1",1,"SW","167","M","F","Y",4.45,NA,"",45.83,"","DALTON",5,"0_5",50.28
"12_1SW_MF","12_1",1,"SW","257","M","F","Y",8.32,57,"",141.72,"","DALTON",5,"5_10",150.04
"12_1SW_MF","12_1",1,"SW","266","M","F","Y",5.62,144,"NO COARSE",113.66,"","DALTON",5,"10_15",119.28
"14_3C_O","14_3",3,"C","754","O","","N",4.08,36,"",0.94,"","DALTON",0.875,"FULL",5.02
"14_3C_MC","14_3",3,"C","552","M","C","N",15.26,116,"",0,"","DALTON",15,"FULL",15.26
"14_3C_MF","14_3",3,"C","233","M","F","N",10.81,116,"",325.5,"","DALTON",15,"FULL",336.31
"14_3NE_O","14_3",3,"NE","494","O","","N",10.86,32,"",13.69,"","DALTON",0.5,"FULL",24.55
"14_3NE_MC","14_3",3,"NE","606","M","C","N",16.58,114,"",0,"","DALTON",15,"FULL",16.58
"14_3NE_MF","14_3",3,"NE","278","M","F","N",15.92,114,"",396.09,"","DALTON",15,"FULL",412.01
"14_3NW_O","14_3",3,"NW","463","O","","N",13.03,94,"",10.33,"","DALTON",2.5,"FULL",23.36
"14_3NW_MC","14_3",3,"NW","555","M","C","N",1.35,111,"",0,"","DALTON",15,"FULL",1.35
"14_3NW_MF","14_3",3,"NW","305","M","F","N",11.67,111,"",309.77,"","DALTON",15,"FULL",321.44
"14_3SE_O","14_3",3,"SE","613","O","","N",9.36,69,"",4.65,"","DALTON",0.5,"FULL",14.01
"14_3SE_MC","14_3",3,"SE","596","M","C","N",14.46,118,"",0,"","DALTON",15,"FULL",14.46
"14_3SE_MF","14_3",3,"SE","293","M","F","N",17.3,118,"",374.26,"","DALTON",15,"FULL",391.56
"14_3SW_O","14_3",3,"SW","378","O","","N",8.96,63,"",0,"DUP","DALTON",0,"FULL",8.96
"14_3SW_O","14_3",3,"SW","755","O","","N",8.78,62,"",0,"DUP","DALTON",0,"FULL",8.78
"14_3SW_MC","14_3",3,"SW","915","M","C","N",0.7,109,"",336.59,"","DALTON",15,"FULL",337.29
"14_3SW_MF","14_3",3,"SW","32","M","F","N",11.16,NA,"",0,"","DALTON",15,"FULL",11.16
"15_3C_O","15_3",3,"C","807","O","","Y",8.75,15,"",10.81,"","DALTON",6.5,"FULL",19.56
"15_3C_MC","15_3",3,"C","348","M","C","Y",1.3,3,"",0,"","DALTON",5,"0_5",1.3
"15_3C_MC","15_3",3,"C","440","M","C","Y",10.55,38,"",0,"","DALTON",5,"5_10",10.55
"15_3C_MC","15_3",3,"C","722","M","C","Y",14.05,7,"",0,"","DALTON",5,"10_15",14.05
"15_3C_MF","15_3",3,"C","113","M","F","Y",7.12,NA,"",69.75,"","DALTON",5,"0_5",76.87
"15_3C_MF","15_3",3,"C","179","M","F","Y",6.7,NA,"",101.15,"","DALTON",5,"5_10",107.85
"15_3C_MF","15_3",3,"C","53","M","F","Y",12.39,NA,"",143.45,"","DALTON",5,"10_15",155.84
"15_3NE_O","15_3",3,"NE","815","O","","Y",4.78,99,"",1.39,"","DALTON",1.35,"FULL",6.17
"15_3NE_MC","15_3",3,"NE","340","M","C","Y",13.25,27,"",0,"","DALTON",5,"0_5",13.25
"15_3NE_MC","15_3",3,"NE","398","M","C","Y",7.68,42,"",13.7,"","DALTON",5,"10_15",21.38
"15_3NE_MC","15_3",3,"NE","699","M","C","Y",23.82,36,"",0,"","DALTON",5,"5_10",23.82
"15_3NE_MF","15_3",3,"NE","104","M","F","Y",7.84,NA,"",67.8,"","DALTON",5,"0_5",75.64
"15_3NE_MF","15_3",3,"NE","177","M","F","Y",7.57,NA,"",70.55,"","DALTON",5,"10_15",78.12
"15_3NE_MF","15_3",3,"NE","66","M","F","Y",11.04,NA,"",123.29,"","DALTON",5,"5_10",134.33
"15_3NW_O","15_3",3,"NW","772","O","","Y",6.13,80,"",2.35,"","DALTON",2.6,"FULL",8.48
"15_3NW_MC","15_3",3,"NW","341","M","C","Y",17.2,29,"",40.66,"","DALTON",5,"0_5",57.86
"15_3NW_MC","15_3",3,"NW","377","M","C","Y",3.83,104,"",0,"","DALTON",5,"5_10",3.83
"15_3NW_MC","15_3",3,"NW","863","M","C","Y",0.4,16,"",0,"","DALTON",5,"10_15",0.4
"15_3NW_MF","15_3",3,"NW","105","M","F","Y",7.6,NA,"",41.52,"","DALTON",5,"0_5",49.12
"15_3NW_MF","15_3",3,"NW","180","M","F","Y",7.19,NA,"",141.54,"","DALTON",5,"5_10",148.73
"15_3NW_MF","15_3",3,"NW","52","M","F","Y",11.61,NA,"",102.29,"","DALTON",5,"10_15",113.9
"15_3SE_O","15_3",3,"SE","455","O","","Y",5.59,111,"",3.82,"","DALTON",2.1,"FULL",9.41
"15_3SE_MC","15_3",3,"SE","318","M","C","Y",5.46,4,"",1.15,"","DALTON",5,"0_5",6.61
"15_3SE_MC","15_3",3,"SE","399","M","C","Y",7.04,112,"",0,"","DALTON",5,"5_10",7.04
"15_3SE_MC","15_3",3,"SE","907","M","C","Y",1.89,109,"",0,"","DALTON",5,"10_15",1.89
"15_3SE_MF","15_3",3,"SE","101","M","F","Y",5.8,NA,"",87.12,"DUP","DALTON",5,"0_5",92.92
"15_3SE_MF","15_3",3,"SE","176","M","F","Y",7.51,NA,"",149.05,"","DALTON",5,"5_10",156.56
"15_3SE_MF","15_3",3,"SE","64","M","F","Y",12.16,NA,"",75.88,"","DALTON",5,"10_15",88.04
"15_3SW_O","15_3",3,"SW","330","O","","Y",4.75,107,"",0.37,"","DALTON",2.3,"FULL",5.12
"15_3SW_MC","15_3",3,"SW","319","M","C","Y",10.13,17,"",0,"","DALTON",5,"0_5",10.13
"15_3SW_MC","15_3",3,"SW","395","M","C","Y",20.04,55,"",13.06,"","DALTON",5,"10_15",33.1
"15_3SW_MC","15_3",3,"SW","403","M","C","Y",14.51,49,"",0,"","DALTON",5,"5_10",14.51
"15_3SE_MF","15_3",3,"SW","112","M","F","Y",6.17,NA,"",45.04,"DUP","DALTON",5,"0_5",51.21
"15_3SW_MF","15_3",3,"SW","173","M","F","Y",7.99,NA,"",110.59,"","DALTON",5,"5_10",118.58
"15_3SW_MF","15_3",3,"SW","182","M","F","Y",7.09,NA,"",130.44,"","DALTON",5,"10_15",137.53
"16_2C_O","16_2",2,"C","840","O","","N",7.78,122,"",17.94,"","DALTON",4,"FULL",25.72
"16_2C_MC","16_2",2,"C","798","M","C","N",18.66,NA,"",145.36,"","DALTON",15,"FULL",164.02
"16_2C_MF","16_2",2,"C","791","M","F","N",18.81,NA,"",229.59,"","DALTON",15,"FULL",248.4
"16_2NE_O","16_2",2,"NE","459","O","","N",24.72,88,"",15.13,"","DALTON",2,"FULL",39.85
"16_2NE_MC","16_2",2,"NE","676","M","C","N",17.19,82,"",73.48,"","DALTON",15,"FULL",90.67
"16_2NE_MF","16_2",2,"NE","665","M","F","N",25.99,82,"",294.9,"","DALTON",15,"FULL",320.89
"16_2NW_O","16_2",2,"NW","645","O","","N",13.19,61,"",33.86,"","DALTON",3,"FULL",47.05
"16_2NW_MC","16_2",2,"NW","425","M","C","N",22.54,130,"",28.57,"","DALTON",15,"FULL",51.11
"16_2NW_MF","16_2",2,"NW","25","M","F","N",10.19,NA,"",312.77,"","DALTON",15,"FULL",322.96
"16_2SE_O","16_2",2,"SE","802","O","","N",5.51,154,"",3.12,"","DALTON",5,"FULL",8.63
"16_2SE_MC","16_2",2,"SE","744","M","C","N",15.51,132,"",0,"","DALTON",15,"FULL",15.51
"16_2SE_MF","16_2",2,"SE","72","M","F","N",10.57,NA,"",403.12,"","DALTON",15,"FULL",413.69
"16_2SW_O","16_2",2,"SW","475","O","","N",12.54,103,"",21.86,"","DALTON",2,"FULL",34.4
"16_2SW_MC","16_2",2,"SW","725","M","C","N",17.03,47,"",19.76,"","DALTON",15,"FULL",36.79
"16_2SW_MF","16_2",2,"SW","29","M","F","N",8.92,NA,"",316.8,"","DALTON",15,"FULL",325.72
"17_3C_O","17_3",3,"C","548","O","","N",7.18,NA,"",10.34,"","STEESE",1,"FULL",17.52
"17_3C_MC","17_3",3,"C","727","M","C","N",18.36,108,"",34.66,"","STEESE",15,"FULL",53.02
"17_3C_MF","17_3",3,"C","30","M","F","N",10.11,NA,"",388.35,"","STEESE",15,"FULL",398.46
"17_3NE_O","17_3",3,"NE","889","O","","N",7.45,NA,"",18.79,"","STEESE",3,"FULL",26.24
"17_3NE_MC","17_3",3,"NE","662","M","C","N",21.54,123,"",69.7,"","STEESE",15,"FULL",91.24
"17_3NE_MF","17_3",3,"NE","42","M","F","N",10.9,NA,"",358.11,"","STEESE",15,"FULL",369.01
"17_3NW_O","17_3",3,"NW","842","O","","N",8.57,NA,"2 BAGS WITH THIS",4.6,"","STEESE",5,"FULL",13.17
"17_3NW_MC","17_3",3,"NW","694","M","C","N",18.53,49,"",70.11,"","STEESE",15,"FULL",88.64
"17_3NW_MF","17_3",3,"NW","37","M","F","N",8.8,NA,"",360.14,"","STEESE",15,"FULL",368.94
"17_3SE_O","17_3",3,"SE","522","O","","N",5.73,NA,"",26.81,"","STEESE",5,"FULL",32.54
"17_3SE_MC","17_3",3,"SE","661","M","C","N",23.4,95,"",57.8,"","STEESE",15,"FULL",81.2
"17_3SE_MF","17_3",3,"SE","275","M","F","N",12.65,95,"",349.66,"","STEESE",15,"FULL",362.31
"17_3SW_O","17_3",3,"SW","833","O","","N",6.49,NA,"",17.14,"","STEESE",3,"FULL",23.63
"17_3SW_MC","17_3",3,"SW","635","M","C","N",20.68,125,"",113.69,"","STEESE",15,"FULL",134.37
"17_3SW_MF","17_3",3,"SW","140","M","F","N",13.52,NA,"",319.14,"","STEESE",15,"FULL",332.66
"18_1C_O","18_1",1,"C","883","O","","N",7.07,NA,"",23.74,"","STEESE",7.75,"FULL",30.81
"18_1C_MC","18_1",1,"C","625","M","C","N",19.94,78,"",9.85,"","STEESE",15,"FULL",29.79
"18_1C_MF","18_1",1,"C","219","M","F","N",9.78,78,"",251.92,"","STEESE",15,"FULL",261.7
"18_1NE_O","18_1",1,"NE","464","O","","N",4.87,NA,"",9.06,"","STEESE",10,"FULL",13.93
