VIAL,SAMPLE,SITE,PLOT,TREAT,CORNER,ORG_MIN,COARSE_FINE,DEPTH,DIVID,BAG,NOTES,DRY_WEIGHT_BAG,DUPLICATES
1,20_1C_MF,STEESE,20_1,1,C,M,F,FULL,N,NA,,342.74,
2,22_3SW_MF,STEESE,22_3,3,SW,M,F,FULL,N,94,,435,
3,55_3C_MF,DALTON,55_3,3,C,M,F,FULL,N,NA,,374.91,
4,65_1NE_MF,DALTON,65_1,1,NE,M,F,5_10,Y,NA,,58.2,
5,58_0C_MF,DALTON,58_0,0,C,M,F,0_5,Y,NA,REDO,18.81,
6,64_1SE_MF,DALTON,64_1,1,SE,M,F,5_10,Y,NA,,103.15,
7,65_1C_MF,DALTON,65_1,1,C,M,F,5_10,Y,NA,,86.29,
8,64_1NW_MF,DALTON,64_1,1,NW,M,F,0_5,Y,NA,,37.59,
9,65_1SE_MF,DALTON,65_1,1,SE,M,F,0_5,Y,NA,,38.44,
10,64_1NW_MF,DALTON,64_1,1,NW,M,F,5_10,Y,NA,,75.87,
11,52_1C_MF,DALTON,52_1,1,C,M,F,5_10,Y,NA,,106.38,
12,54_3SW_MF,DALTON,54_3,3,SW,M,F,FULL,N,NA,,303.32,
13,52_1NE_MF,DALTON,52_1,1,NE,M,F,0_5,Y,NA,,78.88,
14,52_1NW_MF,DALTON,52_1,1,NW,M,F,5_10,Y,NA,,102.34,
15,47_2NE_MF,DALTON,47_2,1,NE,M,F,0_5,Y,72,,53,
16,19_2SE_MF,STEESE,19_2,2,SE,M,F,FULL,N,NA,,409.6,
17,52_1SW_MF,DALTON,52_1,1,SW,M,F,10_15,Y,NA,,9.12,
18,65_1NW_MF,DALTON,65_1,1,NW,M,F,5_10,Y,NA,,103.35,
19,64_1SE_MF,DALTON,64_1,1,SE,M,F,0_5,Y,NA,,68.87,
20,10_0NW_MF,DALTON,10_0,0,NW,M,F,10_15,Y,NA,,110.32,
21,18_1NE_MF,STEESE,18_1,1,NE,M,F,FULL,N,NA,,375.22,
22,28_1SE_MF,STEESE,28_1,1,SE,M,F,FULL,N,NA,,306.93,
23,25_3C_MF,STEESE,25_3,3,C,M,F,FULL,N,NA,,285.78,
24,50_1NW_MF,DALTON,50_1,1,NW,M,F,10_15,Y,NA,,162.06,
25,16_2NW_MF,DALTON,16_2,2,NW,M,F,FULL,N,NA,,312.77,
26,22_3C_MF,STEESE,22_3,3,C,M,F,FULL,N,53,,277.28,
27,35_3C_MF,STEESE,35_3,3,C,M,F,FULL,N,NA,,343.12,
28,10_0C_MF,DALTON,10_0,0,C,M,F,5_10,Y,84,,11.67,
29,16_2SW_MF,DALTON,16_2,2,SW,M,F,FULL,N,NA,,316.8,
30,17_3C_MF,STEESE,17_3,3,C,M,F,FULL,N,NA,,388.35,
31,52_1SW_MF,DALTON,52_1,1,SW,M,F,5_10,Y,NA,,57.59,
32,14_3SW_MF,DALTON,14_3,3,SW,M,F,FULL,N,NA,,0,
33,52_1SW_MF,DALTON,52_1,1,SW,M,F,0_5,Y,NA,,14,
34,11_0NE_MF,DALTON,11_0,0,NE,M,F,10_15,Y,NA,,105.5,
35,4_2NE_MF,STEESE,4_2,2,NE,M,F,FULL,N,150,,256.19,
36,34_2SE_MF,STEESE,34_2,2,SE,M,F,FULL,N,NA,,376.81,
37,17_3NW_MF,STEESE,17_3,3,NW,M,F,FULL,N,NA,,360.14,
38,4_2SE_MF,STEESE,4_2,2,SE,M,F,FULL,N,149,,256.39,
39,5_1SE_MF,STEESE,5_1,1,SE,M,F,FULL,N,NA,,240.15,
40,55_3SE_MF,DALTON,55_3,3,SE,M,F,FULL,N,NA,,187.99,
41,12_1C_MF,DALTON,12_1,1,C,M,F,10_15,Y,NA,,48.47,
42,17_3NE_MF,STEESE,17_3,3,NE,M,F,FULL,N,NA,,358.11,
43,58_0SE_MF,DALTON,58_0,0,SE,M,F,10_15,Y,63,,90.08,
44,36_1NW_MF,STEESE,36_1,1,NW,M,F,FULL,N,NA,,282.53,
45,19_2SW_MF,STEESE,19_2,2,SW,M,F,FULL,N,32,,298.63,
46,50_1NE_MF,DALTON,50_1,1,NE,M,F,10_15,Y,NA,,98,
47,10_0NW_MF,DALTON,10_0,0,NW,M,F,0_5,Y,NA,,92.91,
48,58_0NE_MF,DALTON,58_0,0,NE,M,F,0_5,Y,NA,,118.18,
50,58_0NW_MF,DALTON,58_0,0,NW,M,F,5_10,Y,NA,,132.43,
51,42_1SW_MF,DALTON,42_1,1,SW,M,F,FULL,N,NA,,304.87,
52,15_3NW_MF,DALTON,15_3,3,NW,M,F,10_15,Y,NA,,102.29,
53,15_3C_MF,DALTON,15_3,3,C,M,F,10_15,Y,NA,,143.45,
54,56_2SE_MF,DALTON,56_2,2,SE,M,F,0_5,Y,NA,,87.57,
55,57_2NE_MF,DALTON,57_2,2,NE,M,F,0_5,Y,NA,,83.65,
56,58_0C_MF,DALTON,58_0,0,C,M,F,5_10,Y,NA,REDO,55.11,
57,22_3NW_MF,STEESE,22_3,3,NW,M,F,FULL,N,NA,,374.1,
58,57_2C_MF,DALTON,57_2,2,C,M,F,0_5,Y,NA,,70.14,
59,34_2SW_MF,STEESE,34_2,2,SW,M,F,FULL,N,60,,385.74,
60,28_1NW_MF,STEESE,28_1,1,NW,M,F,FULL,N,NA,,416.28,
61,57_2NW_MF,DALTON,57_2,2,NW,M,F,10_15,Y,NA,,7.27,
62,57_2NW_MF,DALTON,57_2,2,NW,M,F,5_10,Y,NA,,127.38,
63,37_3NE_MF,DALTON,37_3,3,NE,M,F,5_10,Y,NA,,146.45,
64,15_3SE_MF,DALTON,15_3,3,SE,M,F,10_15,Y,NA,,75.88,
65,20_1SW_MF,STEESE,20_1,1,SW,M,F,FULL,N,NA,,344.12,
66,15_3NE_MF,DALTON,15_3,3,NE,M,F,5_10,Y,NA,,123.29,
67,27_2NE_MF,STEESE,27_2,2,NE,M,F,FULL,N,NA,,270.22,
68,11_0NW_MF,DALTON,11_0,0,NW,M,F,0_5,Y,NA,,36.71,
69,7_3NE_MF,DALTON,7_3,3,NE,M,F,FULL,N,NA,,189.29,
70,36_1C_MF,STEESE,36_1,1,C,M,F,FULL,N,NA,,381.75,
71,23_3NW_MF,STEESE,23_3,3,NW,M,F,FULL,N,NA,,194.38,
72,16_2SE_MF,DALTON,16_2,2,SE,M,F,FULL,N,NA,,403.12,
73,57_2C_MF,DALTON,57_2,2,C,M,F,5_10,Y,NA,,116.5,
74,57_2NW_MF,DALTON,57_2,2,NW,M,F,0_5,Y,NA,,66.45,
75,57_2NE_MF,DALTON,57_2,2,NE,M,F,5_10,Y,NA,,103.06,
76,57_2SE_MF,DALTON,57_2,2,SE,M,F,0_5,Y,NA,,66.07,
77,32_2SE_MF,DALTON,32_2,2,SE,M,F,0_5,Y,NA,,33.08,
78,57_2NE_MF,DALTON,57_2,2,NE,M,F,10_15,Y,NA,,79.9,
79,56_2SW_MF,DALTON,56_2,2,SW,M,F,0_5,Y,NA,,84.57,
80,32_2C_MF,DALTON,32_2,2,C,M,F,0_5,Y,NA,,41.07,
81,56_2SW_MF,DALTON,56_2,2,SW,M,F,5_10,Y,NA,,127.6,
82,32_2NW_MF,DALTON,32_2,2,NW,M,F,10_15,Y,NA,,112.09,
83,32_2NW_MF,DALTON,32_2,2,NW,M,F,0_5,Y,NA,,76.54,
84,32_2SW_MF,DALTON,32_2,2,SW,M,F,0_5,Y,NA,,50.81,
85,32_2NW_MF,DALTON,32_2,2,NW,M,F,5_10,Y,NA,,67.49,
86,47_2C_MF,DALTON,47_2,2,C,M,F,0_5,Y,90,,31.43,
87,47_2NE_MF,DALTON,47_2,2,NE,M,F,5_10,Y,73,,70.44,
88,65_1NE_MF,DALTON,65_1,1,NE,M,F,10_15,Y,NA,,81.59,
89,47_2C_MF,DALTON,47_2,2,C,M,F,10_15,Y,NA,,58.15,
90,56_2NE_MF,DALTON,56_2,2,NE,M,F,0_5,Y,NA,,52.85,
91,47_2NW_MF,DALTON,47_2,2,NW,M,F,5_10,Y,33,NO COARSE,24,
92,56_2NW_MF,DALTON,56_2,2,NW,M,F,10_15,Y,NA,,110.96,
93,56_2NW_MF,DALTON,56_2,2,NW,M,F,0_5,Y,NA,,67.73,
94,47_2C_MF,DALTON,47_2,2,C,M,F,5_10,Y,6,,26.91,
95,56_2C_MF,DALTON,56_2,2,C,M,F,0_5,Y,NA,,71,
96,56_2SW_MF,DALTON,56_2,2,SW,M,F,10_15,Y,NA,,64.99,
97,56_2NW_MF,DALTON,56_2,2,NW,M,F,5_10,Y,NA,,76.85,
98,39_2NW_MF,DALTON,39_2,2,NW,M,F,FULL,N,49,21-Jun,367.76,
100,37_3SW_MF,DALTON,37_3,3,SW,M,F,5_10,Y,NA,NO COARSE,103.35,
101,15_3SE_MF,DALTON,15_3,3,SE,M,F,0_5,Y,NA,,87.12,
102,37_3NW_MF,DALTON,37_3,3,NW,M,F,10_15,Y,NA,,115.04,
103,37_3SE_MF,DALTON,37_3,3,SE,M,F,0_5,Y,NA,,109.68,
104,15_3NE_MF,DALTON,15_3,3,NE,M,F,0_5,Y,NA,,67.8,
105,15_3NW_MF,DALTON,15_3,3,NW,M,F,0_5,Y,NA,,41.52,
106,32_2SW_MF,DALTON,32_2,2,SW,M,F,5_10,Y,NA,,96.87,
107,32_2SE_MF,DALTON,32_2,2,SE,M,F,5_10,Y,NA,,55.82,
108,37_3NW_MF,DALTON,37_3,3,NW,M,F,0_5,Y,NA,,100.39,
109,32_2SE_MF,DALTON,32_2,2,SE,M,F,10_15,Y,NA,,128.55,
110,32_2SW_MF,DALTON,32_2,2,SW,M,F,10_15,Y,NA,,98.65,
111,32_2C_MF,DALTON,32_2,2,C,M,F,5_10,Y,NA,,75.94,
112,15_3SE_MF,DALTON,15_3,3,SW,M,F,0_5,Y,NA,,45.04,
113,15_3C_MF,DALTON,15_3,3,C,M,F,0_5,Y,NA,,69.75,
114,32_2C_MF,DALTON,32_2,2,C,M,F,10_15,Y,87,,86.16,
115,32_2NE_MF,DALTON,32_2,2,NE,M,F,0_5,Y,NA,,45.97,
116,32_3NE_MF,DALTON,32_2,2,NE,M,F,5_10,Y,NA,,49.91,
117,37_3SW_MF,DALTON,37_3,3,SW,M,F,0_5,Y,NA,,97.12,
118,57_2SW_MF,DALTON,57_2,2,SW,M,F,10_15,Y,NA,,95.31,
119,33_1SW_MF,STEESE,33_1,1,SW,M,F,FULL,N,NA,,339.46,
120,64_1SW_MF,DALTON,64_1,1,SW,M,F,5_10,Y,NA,,90.03,
121,11_0SW_MF,DALTON,11_0,0,SW,M,F,10_15,Y,121,NO COARSE,62.84,
122,52_1NE_MF,DALTON,52_1,1,NE,M,F,10_15,Y,NA,,71.46,
123,64_1C_MF,DALTON,64_1,1,C,M,F,5_10,Y,NA,,60.32,
124,64_1NE_MF,DALTON,64_1,1,NE,M,F,10_15,Y,NA,,116.11,
125,12_1NE_MF,DALTON,12_1,1,NE,M,F,0_5,Y,85,,18.94,
126,29_1SE_MF,STEESE,29_1,1,SE,M,F,FULL,N,99,,397.03,
127,54_3SE_MF,DALTON,54_3,3,SE,M,F,FULL,N,NA,,258.68,
128,65_1SW_MF,DALTON,65_1,1,SW,M,F,5_10,Y,NA,,64.86,
129,56_2NE_MF,DALTON,56_2,2,NE,M,F,5_10,Y,NA,,27.5,
130,37_3SW_MF,DALTON,37_3,3,SW,M,F,10_15,Y,NA,,133.58,
131,37_3_NE_MF,DALTON,37_3,3,NE,M,F,0_5,Y,NA,,109.41,
132,8_2C_MF,DALTON,8_2,2,C,M,F,FULL,N,NA,,261.25,
133,37_3_SE_MF,DALTON,37_3,3,SE,M,F,10_15,Y,NA,not enough coarse,108.53,
134,11_0NE_MF,DALTON,11_0,0,NE,M,F,5_10,Y,NA,NO COARSE,89.86,
135,37_3NW_MF,DALTON,37_3,3,NW,M,F,5_10,Y,NA,,126.76,
136,37_3C_MF,DALTON,37_3,3,C,M,F,5_10,Y,NA,,109.21,
137,37_3SE_MF,DALTON,37_3,3,SE,M,F,0_5,Y,NA,,106.32,
138,25_3_SW_MF,STEESE,25_3,3,SW,M,F,FULL,N,NA,,329.25,
139,4_2_SW_MF,STEESE,4_2,2,SW,M,F,FULL,N,84,,361.46,
140,17_3SW_MF,STEESE,17_3,3,SW,M,F,FULL,N,NA,,319.14,
141,12_1C_MF,DALTON,12_1,1,C,M,F,0_5,Y,NA,,37.69,
142,20_1SE_MF,STEESE,20_1,1,SE,M,F,FULL,N,NA,,277.85,
143,22_3NE_MF,STEESE,22_3,3,NE,M,F,FULL,N,81,,366.96,
144,5_1NE_MF,STEESE,5_1,1,NE,M,F,FULL,N,NA,,379.48,
145,44_0SE_MF,DALTON,44_0,0,SE,M,F,FULL,N,NA,,256.26,
146,54_3NW_MF,DALTON,54_3,3,NW,M,F,FULL,N,NA,,366.27,
147,19_2NE_MF,STEESE,19_2,2,NE,M,F,FULL,N,NA,,351.46,
148,47_2SE_MF,DALTON,47_2,2,SE,M,F,5_10,Y,12,,14.23,
149,47_2SE_MF,DALTON,47_2,2,SE,M,F,0_5,Y,25,NO COARSE,22.96,
150,42_1SE_MF,DALTON,42_1,1,SE,M,F,FULL,N,NA,,211.83,
151,10_0NE_MF,DALTON,10_0,0,NE,M,F,0_5,Y,NA,,109.33,
152,44_0NE_MF,DALTON,44_0,0,NE,M,F,FULL,N,NA,,150.84,
153,58_0C_MF,DALTON,58_0,0,C,M,F,0_5,Y,83,REDONE_DROP,17.23,
154,58_0NW_MF,DALTON,58_0,0,NW,M,F,0_5,Y,164,,122.23,
155,56_2C_MF,DALTON,56_2,2,C,M,F,5_10,Y,NA,,100.22,
156,37_3C_MF,DALTON,37_3,3,C,M,F,0_5,Y,NA,,138.57,
157,52_1NE_MF,DALTON,52_1,1,NE,M,F,5_10,Y,NA,,60.41,
158,50_1SE_MF,DALTON,50_1,1,SE,M,F,0_5,Y,NA,NO COARSE,72.87,
159,52_1SE_MF,DALTON,52_1,1,SE,M,F,10_15,Y,NA,,1.27,DUP
160,65_1NW_MF,DALTON,65_1,1,NW,M,F,10_15,Y,NA,,77.82,
161,11_0SE_MF,DALTON,11_0,0,SE,M,F,0_5,Y,NA,looks off - resolved,104.98,
162,50_1SW_MF,DALTON,50_1,1,SW,M,F,0_5,Y,NA,,47.44,
163,22_3SE_MF,STEESE,22_3,3,SE,M,F,FULL,N,69,,380.43,
164,12_1NW_MF,DALTON,12_1,1,NW,M,F,5_10,Y,NA,,117.24,
165,11_0NW_MF,DALTON,11_0,0,NW,M,F,10_15,Y,NA,,88.99,
166,64_1SW_MF,DALTON,64_1,1,SW,M,F,10_15,Y,NA,,78.55,
167,12_1SW_MF,DALTON,12_1,1,SW,M,F,0_5,Y,NA,,45.83,
168,41_1C_MF,DALTON,41_1,1,C,M,F,FULL,N,NA,,191.92,
169,26_2NW_MF,STEESE,26_2,2,NW,M,F,FULL,N,124,,347.23,
170,57_2SE_MF,DALTON,57_2,2,SE,M,F,10_15,Y,NA,,52.27,
171,57_2SE_MF,DALTON,57_2,2,SE,M,F,5_10,Y,NA,,85.85,
172,47_2NW_MF,DALTON,47_2,2,NW,M,F,0_5,Y,NA,,196.26,
173,15_3SW_MF,DALTON,15_3,3,SW,M,F,5_10,Y,NA,,110.59,
174,57_2SW_MF,DALTON,57_2,2,SW,M,F,0_5,Y,NA,,122.81,
175,56_2SE_MF,DALTON,56_2,2,SE,M,F,5_10,Y,NA,,82.01,
176,15_3SE_MF,DALTON,15_3,3,SE,M,F,5_10,Y,NA,,149.05,
177,15_3NE_MF,DALTON,15_3,3,NE,M,F,10_15,Y,NA,,70.55,
178,37_3C_MF,DALTON,37_3,3,C,M,F,10_15,Y,NA,,99.51,
179,15_3C_MF,DALTON,15_3,3,C,M,F,5_10,Y,NA,,101.15,
180,15_3NW_MF,DALTON,15_3,3,NW,M,F,5_10,Y,NA,,141.54,
181,52_1C_MF,DALTON,52_1,1,C,M,F,10_15,Y,NA,,68.32,
182,15_3SW_MF,DALTON,15_3,3,SW,M,F,10_15,Y,NA,,130.44,
183,57_2SW_MF,DALTON,57_2,2,SW,M,F,5_10,Y,NA,,133.95,
184,37_3NE_MF,DALTON,37_3,3,NE,M,F,10_15,Y,NA,,80.59,
185,28_1SW_MF,STEESE,28_1,1,SW,M,F,FULL,N,NA,,234.84,
186,57_2C_MF,DALTON,57_2,2,C,M,F,10_15,Y,NA,,119.88,
187,64_1NE_MF,DALTON,64_1,1,NE,M,F,5_10,Y,NA,,95.6,
188,3_2SE_MF,STEESE,3_2,2,SE,M,F,,N,NA,,354.78,
189,19_2C_MF,STEESE,19_2,2,C,M,F,,N,NA,,370.07,
190,33_1NW_MF,STEESE,33_1,1,NW,M,F,,N,NA,,326.76,
191,5_1SW_MF,STEESE,5_1,1,SW,M,F,,N,96,,201.31,
192,5_1NW_MF,STEESE,5_1,1,NW,M,F,,N,66,,298.93,
193,18_1SW_MF,STEESE,18_1,1,SW,M,F,,N,45,,329.41,
194,65_1C_MF,DALTON,65_1,1,C,M,F,0_5,Y,140,,91.4,
195,10_0SW_MF,DALTON,10_0,0,SW,M,F,0_5,Y,37,,91.39,
196,2_3NE_MF,STEESE,2_3,3,NE,M,F,,N,52,,255.14,
197,3_2NE_MF,STEESE,3_2,2,NE,M,F,,N,130,,310.78,
198,20_1NE_MF,STEESE,20_1,1,NE,M,F,,N,41,,352.24,
199,33_1C_MF,STEESE,33_1,1,C,M,F,,N,54,,400.09,
200,20_1NW_MF,STEESE,20_1,1,NW,M,F,,N,120,,291.41,
201,27_2SE_MF,STEESE,27_2,2,SE,M,F,,N,NA,,312.35,
202,4_2NW_MF,STEESE,4_2,2,NW,M,F,,N,58,,283.88,
203,26_2SW_MF,STEESE,26_2,2,SW,M,F,,N,119,,295.13,
204,18_1NW_MF,STEESE,18_1,1,NW,M,F,,N,137,,224.83,
205,2_3SE_MF,STEESE,2_3,3,SE,M,F,,N,141,,301.95,
206,26_2C_MF,STEESE,26_2,2,C,M,F,,N,72,,267.98,
207,29_1NE_MF,STEESE,29_1,1,NE,M,F,,N,51,,333.83,
208,27_2SW_MF,STEESE,27_2,2,SW,M,F,,N,92,,347.65,
209,26_2NE_MF,STEESE,26_2,2,NE,M,F,,N,127,,266.72,
210,23_3SE_MF,STEESE,23_3,3,SE,M,F,,N,126,,95.39,
211,65_1C_MF,DALTON,65_1,1,C,M,F,10_15,Y,81,,74.74,
212,12_1C_MF,DALTON,12_1,1,C,M,F,5_10,Y,70,,69.99,
213,40_2NW_MF,DALTON,40_2,2,NW,M,F,,N,36,,200.06,
214,35_3SW_MF,STEESE,35_3,3,SW,M,F,,N,200,,320.71,
215,8_2SW_MF,DALTON,8_2,2,SW,M,F,,N,136,Bag says 8_1,441,
216,29_1NW_MF,STEESE,29_1,1,NW,M,F,,N,91,,414.45,
217,44_0SW_MF,DALTON,44_0,0,SW,M,F,,N,138,,278.53,
218,50_1SE_MF,DALTON,50_1,1,SE,M,F,10_15,Y,154,NO COARSE,123.12,
219,18_1C_MF,STEESE,18_1,1,C,M,F,,N,78,,251.92,
220,11_0SE_MF,DALTON,11_0,0,SE,M,F,10_15,Y,26,,74.6,
221,65_1SW_MF,DALTON,65_1,1,SW,M,F,10_15,Y,12,,57.34,
222,52_1C_MF,DALTON,52_1,1,C,M,F,0_5,Y,NA,,71.44,
223,65_1SE_MF,DALTON,65_1,1,SE,M,F,5_10,Y,73,,28.37,
224,50_1SE_MF,DALTON,50_1,1,SE,M,F,5_10,Y,20,NO COARSE,112.3,
225,11_0C_MF,DALTON,11_0,0,C,M,F,10_15,Y,57,,92.82,
226,33_1SE_MF,STEESE,33_1,1,SE,M,F,,N,129,,374.61,
227,12_1SE_MF,DALTON,12_1,1,SE,M,F,5_10,Y,46,,52.15,
228,11_0SE_MF,DALTON,11_0,0,SE,M,F,0_5,Y,121,,76.5,
229,50_1C_MF,DALTON,50_1,1,C,M,F,10_15,Y,96,,112.32,
230,36_1SE_MF,STEESE,36_1,1,SE,M,F,,N,90,,337.95,
231,48_1NW_MF,DALTON,48_1,1,NW,M,F,,N,147,,237.09,
232,50_1NE_MF,DALTON,50_1,1,NE,M,F,5_10,Y,18,NO COARSE,77.48,
233,14_3C_MF,DALTON,14_3,3,C,M,F,,N,116,,325.5,
234,23_3NE_MF,STEESE,23_3,3,NE,M,F,,N,44,,288.13,
235,50_1C_MF,DALTON,50_1,1,C,M,F,5_10,Y,23,,76.25,
236,50_1SW_MF,DALTON,50_1,1,SW,M,F,10_15,Y,43,,69.66,
237,50_1C_MF,DALTON,50_1,1,C,M,F,0_5,Y,2,,59.65,
238,7_3NE_MF,DALTON,7_3,3,NE,M,C,,N,117,?,173.73,DUP
239,11_0C_MF,DALTON,11_0,0,C,M,F,5_10,Y,155,NO COARSE,104.31,
240,52_1NW_MF,DALTON,52_1,1,NW,M,F,0_5,Y,133,,115.31,
241,27_2NW_MF,STEESE,27_2,2,NW,M,F,,N,NA,,225.51,
242,3_2SW_MF,STEESE,3_2,2,SW,M,F,,N,63,,200.83,
243,11_0NW_MF,DALTON,11_0,0,NW,M,F,5_10,Y,147,,95.97,
244,33_1NE_MF,STEESE,33_1,1,NE,M,F,,N,76,,373.29,
245,24_3SE_MF,STEESE,24_3,3,SE,M,F,,N,120,,369.04,
246,55_3SW_MF,DALTON,55_3,3,SW,M,F,,N,115,,376.47,
