SITE,PLOT,FIRE,TREE,TREE_YR,STAND_AGE
STEESE,6_0,0,6_0_PIME_74_32,1939,82
STEESE,6_0,0,6_0_PIME_88_32,1945,76
STEESE,6_0,0,6_0_PIME_80_32,1943,78
STEESE,6_0,0,6_0_PIME_103_32,1940,81
STEESE,6_0,0,6_0_PIME_110_32,1935,86
STEESE,6_0,0,6_0_PIME_117_32,1939,82
STEESE,6_0,0,6_0_PIME_132_32,1935,86
DALTON,10_0,0,10_0_BENE_17.3,1937,84
DALTON,10_0,0,10_0_TLS_6,1940,81
DALTON,10_0,0,10_0_TLS_7,1941,80
DALTON,10_0,0,10_0_TLS_3,1940,81
DALTON,10_0,0,10_0_BENE_13.3,1970,51
DALTON,10_0,0,10_0_TLS_8,1959,62
DALTON,10_0,0,10_0_BENE_15.5,1966,55
DALTON,10_0,0,10_0_TLS_2,1941,80
DALTON,10_0,0,10_0_TLS_4,1933,88
DALTON,10_0,0,10_0_TLS_5 (2),1936,85
DALTON,10_0,0,10_0_TLS_5,1938,83
DALTON,11_0,0,11_0_PIME_19.1,1942,79
DALTON,11_0,0,11_0_PIME_11.6,1947,74
DALTON,11_0,0,11_0_PIME_12.1,1943,78
DALTON,11_0,0,11_0_PIME_17.5,1948,73
DALTON,11_0,0,11_0_1_PIME,1932,89
DALTON,11_0,0,11_1_3,1941,80
DALTON,11_0,0,11_1_5_PIME,1941,80
DALTON,11_0,0,11_1_4_PIME,1939,82
DALTON,11_0,0,11_1_2_PIME,1942,79
STEESE,9_0,0,9_0_PIME_76_32,1941,80
STEESE,9_0,0,9_0_PIME_94_32,1935,86
STEESE,9_0,0,9_0_PIME_96_32,1943,78
STEESE,9_0,0,9_0_PIME_112_32,1937,84
STEESE,9_0,0,9_0_PIME_131_32,1931,90
STEESE,9_0,0,9_0_PIME2_112_32,1934,87
STEESE,31_0,0,31_0 PIME 13.8,1913,108
STEESE,31_0,0,31_0_PIME_9.1,1958,63
STEESE,31_0,0,31_0_PIME_9.1,1958,63
DALTON,44_0,0,44_0_1,1936,85
DALTON,44_0,0,44_0_2,1945,76
DALTON,44_0,0,44_0_3,1940,81
DALTON,44_0,0,44_0_5,1939,82
DALTON,44_0,0,44_0_6,1946,75
DALTON,44_0,0,44_0_7,1936,85
DALTON,44_0,0,44_0_8,1939,82
DALTON,44_0,0,44_0_10,1938,83
DALTON,44_0,0,44_0_BENE_13.5,1973,48
DALTON,44_0,0,44_0_PIME_11.3,1957,64
DALTON,44_0,0,44_0_PIME_51_32,1971,50
DALTON,58_0,0,58_0_5,1940,81
DALTON,58_0,0,58_0_PIME_23.8,1941,80
DALTON,58_0,0,58_0_3,1946,75
DALTON,58_0,0,58_0_10,1940,81
DALTON,58_0,0,58_0_9,1933,88
DALTON,58_0,0,58_0_BENE_16,1978,43
DALTON,58_0,0,58_0_PIME_19.2,1944,77
DALTON,58_0,0,58_0_PIME_16.7,1947,74
DALTON,58_0,0,58_0_BENE_15.4,1965,56
DALTON,58_0,0,58_0_BENE_10,1953,68
DALTON,58_0,0,58_0_BENE_14.3,1966,55
DALTON,58_0,0,58_0_1,1937,84
DALTON,58_0,0,58_0_2,1933,88
DALTON,58_0,0,58_0_4,1944,77
DALTON,58_0,0,58_0_6,1940,81
DALTON,58_0,0,58_0_7,1941,80
DALTON,58_0,0,58_0_8,1935,86
DALTON,58_0,0,58_0_11,1944,77
DALTON,58_0,0,58_0_PIME_17.3,1947,74
STEESE,1_0,0,10P114,1926,95
STEESE,1_0,0,10P81,1951,70
STEESE,1_0,0,10P89,1938,83
STEESE,1_0,0,10P119,1938,83